Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,440,All cancers,2,7168,6954,7388,7168,224.0,501.2,22.2
1,C00-06,440,"Lip, oral cavity",2,50,37,68,50,1.4,3.5,0.18
2,C07-08,440,Salivary glands,2,13,7,25,13,0.33,0.91,0.04
3,C09-10,440,Oropharynx,2,13,8,22,13,0.54,0.91,0.06
4,C11,440,Nasopharynx,2,4,2,11,4,0.11,0.28,0.01
5,C12-13,440,Hypopharynx,2,6,2,14,6,0.19,0.42,0.02
6,C15,440,Oesophagus,2,32,23,45,32,0.78,2.2,0.10
7,C16,440,Stomach,2,297,249,354,297,7.2,20.8,0.81
41,C18-C21,440,Colorectum,2,736,-,-,736,17.3,51.5,2.1
11,C22,440,Liver and intrahepatic bile ducts,2,95,70,129,95,1.9,6.6,0.22
12,C23,440,Gallbladder,2,43,30,62,43,0.86,3.0,0.10
13,C25,440,Pancreas,2,328,270,398,328,6.5,22.9,0.73
14,C32,440,Larynx,2,12,7,22,12,0.40,0.84,0.05
15,C33-34,440,"Trachea, bronchus and lung",2,390,330,461,390,10.4,27.3,1.3
16,C43,440,Melanoma of skin,2,191,152,240,191,6.3,13.4,0.71
17,C44,440,Non-melanoma skin cancer,2,140,99,197,140,2.1,9.8,0.19
18,C45,440,Mesothelioma,2,4,1,12,4,0.09,0.28,0.01
19,C46,440,Kaposi sarcoma,2,3,1,15,3,0.05,0.21,0.01
20,C50,440,Breast,2,1719,1559,1896,1719,62.7,120.2,6.9
21,C51,440,Vulva,2,46,35,61,46,0.95,3.2,0.12
22,C52,440,Vagina,2,13,7,23,13,0.33,0.91,0.04
23,C53,440,Cervix uteri,2,296,238,369,296,13.7,20.7,1.3
24,C54,440,Corpus uteri,2,684,586,798,684,21.8,47.8,2.6
25,C56,440,Ovary,2,366,315,425,366,12.8,25.6,1.4
29,C64,440,Kidney,2,239,194,295,239,7.0,16.7,0.81
30,C67,440,Bladder,2,99,69,143,99,1.9,6.9,0.24
31,C70-72,440," Brain, central nervous system",2,151,114,199,151,5.3,10.6,0.51
32,C73,440,Thyroid,2,277,225,341,277,13.9,19.4,1.4
33,C81,440,Hodgkin lymphoma,2,19,13,28,19,1.9,1.3,0.13
34,C82-86+C88,440,Non-Hodgkin lymphoma,2,154,110,217,154,4.7,10.8,0.52
35,C90,440,Multiple myeloma,2,94,65,135,94,2.5,6.6,0.33
36,C91-95,440,Leukaemia,2,254,186,348,254,7.2,17.8,0.72
