Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,440,All cancers,1,9245,9009,9487,9245,391.3,750.7,38.8
1,C00-06,440,"Lip, oral cavity",1,207,156,275,207,9.7,16.8,1.2
2,C07-08,440,Salivary glands,1,22,13,36,22,1.0,1.8,0.11
3,C09-10,440,Oropharynx,1,97,60,158,97,4.6,7.9,0.58
4,C11,440,Nasopharynx,1,16,9,29,16,0.75,1.3,0.09
5,C12-13,440,Hypopharynx,1,115,63,211,115,5.2,9.3,0.68
6,C15,440,Oesophagus,1,202,154,265,202,9.0,16.4,1.1
7,C16,440,Stomach,1,460,399,530,460,18.4,37.4,2.2
41,C18-C21,440,Colorectum,1,770,-,-,770,29.3,62.5,3.6
11,C22,440,Liver and intrahepatic bile ducts,1,197,131,297,197,8.7,16.0,1.1
12,C23,440,Gallbladder,1,14,7,26,14,0.48,1.1,0.05
13,C25,440,Pancreas,1,277,219,350,277,11.1,22.5,1.3
14,C32,440,Larynx,1,178,134,236,178,7.9,14.5,1.0
15,C33-34,440,"Trachea, bronchus and lung",1,1104,983,1239,1104,44.9,89.6,5.7
16,C43,440,Melanoma of skin,1,159,121,210,159,7.1,12.9,0.83
17,C44,440,Non-melanoma skin cancer,1,154,116,205,154,4.9,12.5,0.47
18,C45,440,Mesothelioma,1,5,2,16,5,0.18,0.41,0.02
19,C46,440,Kaposi sarcoma,1,5,2,12,5,0.16,0.41,0.01
26,C60,440,Penis,1,27,18,40,27,1.1,2.2,0.13
27,C61,440,Prostate,1,3208,2912,3535,3208,135.0,260.5,16.8
28,C62,440,Testis,1,32,22,46,32,2.7,2.6,0.20
29,C64,440,Kidney,1,403,319,509,403,17.9,32.7,2.1
30,C67,440,Bladder,1,437,377,506,437,16.7,35.5,2.0
31,C70-72,440," Brain, central nervous system",1,161,117,222,161,8.6,13.1,0.87
32,C73,440,Thyroid,1,59,44,78,59,3.3,4.8,0.34
33,C81,440,Hodgkin lymphoma,1,21,13,33,21,1.6,1.7,0.14
34,C82-86+C88,440,Non-Hodgkin lymphoma,1,152,113,205,152,7.3,12.3,0.78
35,C90,440,Multiple myeloma,1,85,58,124,85,3.5,6.9,0.43
36,C91-95,440,Leukaemia,1,219,156,307,219,10.3,17.8,1.0
