Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,442,All cancers,1,1742,1564,1940,1742,285.8,535.8,26.5
1,C00-06,442,"Lip, oral cavity",1,11,3,37,11,1.9,3.4,0.23
2,C07-08,442,Salivary glands,1,2,0,13,2,0.20,0.62,0.00
3,C09-10,442,Oropharynx,1,6,1,28,6,1.1,1.9,0.17
4,C11,442,Nasopharynx,1,2,0,13,2,0.40,0.62,0.05
5,C12-13,442,Hypopharynx,1,7,2,33,7,1.2,2.2,0.21
6,C15,442,Oesophagus,1,25,14,46,25,3.9,7.7,0.41
7,C16,442,Stomach,1,25,15,42,25,4.8,7.7,0.51
41,C18-C21,442,Colorectum,1,177,-,-,177,28.1,54.4,3.0
11,C22,442,Liver and intrahepatic bile ducts,1,44,27,71,44,6.4,13.5,0.64
12,C23,442,Gallbladder,1,6,2,20,6,0.87,1.9,0.08
13,C25,442,Pancreas,1,59,39,90,59,8.6,18.2,0.82
14,C32,442,Larynx,1,19,7,52,19,3.4,5.8,0.48
15,C33-34,442,"Trachea, bronchus and lung",1,210,155,284,210,31.6,64.6,3.2
16,C43,442,Melanoma of skin,1,89,36,219,89,17.0,27.4,1.7
17,C44,442,Non-melanoma skin cancer,1,232,39,1380,232,32.0,71.4,2.6
18,C45,442,Mesothelioma,1,8,3,21,8,1.3,2.5,0.15
19,C46,442,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,442,Penis,1,2,1,6,2,0.31,0.62,0.03
27,C61,442,Prostate,1,443,307,640,443,74.7,136.3,9.7
28,C62,442,Testis,1,39,23,66,39,10.5,12.0,0.82
29,C64,442,Kidney,1,37,16,83,37,6.5,11.4,0.57
30,C67,442,Bladder,1,75,46,123,75,10.3,23.1,0.89
31,C70-72,442," Brain, central nervous system",1,27,13,54,27,4.3,8.3,0.41
32,C73,442,Thyroid,1,14,2,131,14,3.1,4.3,0.34
33,C81,442,Hodgkin lymphoma,1,7,2,20,7,2.5,2.2,0.16
34,C82-86+C88,442,Non-Hodgkin lymphoma,1,58,28,121,58,12.0,17.8,1.1
35,C90,442,Multiple myeloma,1,18,8,39,18,2.8,5.5,0.26
36,C91-95,442,Leukaemia,1,38,22,66,38,6.5,11.7,0.61
