Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,458,All cancers,2,26758,26358,27165,26758,148.0,165.7,14.7
1,C00-06,458,"Lip, oral cavity",2,393,33,4631,393,2.1,2.4,0.23
2,C07-08,458,Salivary glands,2,64,5,754,64,0.35,0.40,0.04
3,C09-10,458,Oropharynx,2,35,27,45,35,0.18,0.22,0.01
4,C11,458,Nasopharynx,2,510,204,1274,510,2.8,3.2,0.31
5,C12-13,458,Hypopharynx,2,43,16,116,43,0.23,0.27,0.03
6,C15,458,Oesophagus,2,115,10,1355,115,0.63,0.71,0.07
7,C16,458,Stomach,2,504,382,665,504,2.7,3.1,0.30
41,C18-C21,458,Colorectum,2,3277,-,-,3277,17.9,20.3,2.0
11,C22,458,Liver and intrahepatic bile ducts,2,630,236,1680,630,3.4,3.9,0.38
12,C23,458,Gallbladder,2,170,14,2003,170,0.94,1.1,0.12
13,C25,458,Pancreas,2,469,202,1089,469,2.6,2.9,0.33
14,C32,458,Larynx,2,55,37,81,55,0.28,0.34,0.02
15,C33-34,458,"Trachea, bronchus and lung",2,1307,1072,1593,1307,7.1,8.1,0.85
16,C43,458,Melanoma of skin,2,100,63,158,100,0.53,0.62,0.05
17,C44,458,Non-melanoma skin cancer,2,193,136,273,193,1.0,1.2,0.11
18,C45,458,Mesothelioma,2,11,1,94,11,0.06,0.07,0.01
19,C46,458,Kaposi sarcoma,2,1,1,1,1,0.01,0.01,0.00
20,C50,458,Breast,2,8371,6052,11579,8371,46.1,51.9,4.9
21,C51,458,Vulva,2,55,43,70,55,0.29,0.34,0.03
22,C52,458,Vagina,2,49,33,73,49,0.26,0.30,0.02
23,C53,458,Cervix uteri,2,1913,1444,2535,1913,10.3,11.9,1.0
24,C54,458,Corpus uteri,2,1503,727,3106,1503,8.4,9.3,0.93
25,C56,458,Ovary,2,1838,1060,3187,1838,10.3,11.4,1.1
29,C64,458,Kidney,2,394,97,1595,394,2.1,2.4,0.22
30,C67,458,Bladder,2,202,117,348,202,1.1,1.3,0.11
31,C70-72,458," Brain, central nervous system",2,380,32,4478,380,2.3,2.4,0.20
32,C73,458,Thyroid,2,600,464,776,600,3.3,3.7,0.31
33,C81,458,Hodgkin lymphoma,2,92,8,1084,92,0.52,0.57,0.04
34,C82-86+C88,458,Non-Hodgkin lymphoma,2,926,514,1667,926,5.2,5.7,0.57
35,C90,458,Multiple myeloma,2,142,125,162,142,0.76,0.88,0.09
36,C91-95,458,Leukaemia,2,848,266,2701,848,5.3,5.3,0.44
