Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,470,All cancers,2,1326,1224,1437,1326,271.6,599.5,25.9
1,C00-06,470,"Lip, oral cavity",2,19,11,33,19,3.8,8.6,0.35
2,C07-08,470,Salivary glands,2,2,0,8,2,0.48,0.90,0.03
3,C09-10,470,Oropharynx,2,0,0,0,0,0.00,0.00,0.00
4,C11,470,Nasopharynx,2,0,0,0,0,0.00,0.00,0.00
5,C12-13,470,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,470,Oesophagus,2,5,2,11,5,0.56,2.3,0.07
7,C16,470,Stomach,2,25,15,41,25,3.6,11.3,0.39
41,C18-C21,470,Colorectum,2,140,-,-,140,23.3,63.3,2.5
11,C22,470,Liver and intrahepatic bile ducts,2,13,6,29,13,1.6,5.9,0.17
12,C23,470,Gallbladder,2,3,1,15,3,0.37,1.4,0.07
13,C25,470,Pancreas,2,54,38,78,54,7.4,24.4,0.81
14,C32,470,Larynx,2,3,1,8,3,0.44,1.4,0.07
15,C33-34,470,"Trachea, bronchus and lung",2,63,48,83,63,11.9,28.5,1.5
16,C43,470,Melanoma of skin,2,34,23,50,34,9.7,15.4,1.1
17,C44,470,Non-melanoma skin cancer,2,32,6,186,32,3.6,14.5,0.28
18,C45,470,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,470,Kaposi sarcoma,2,1,0,10,1,0.14,0.45,0.04
20,C50,470,Breast,2,386,306,487,386,86.3,174.5,9.3
21,C51,470,Vulva,2,10,4,23,10,1.4,4.5,0.18
22,C52,470,Vagina,2,2,0,10,2,0.23,0.90,0.04
23,C53,470,Cervix uteri,2,13,7,23,13,4.2,5.9,0.44
24,C54,470,Corpus uteri,2,92,66,128,92,20.4,41.6,2.5
25,C56,470,Ovary,2,44,31,62,44,10.7,19.9,1.2
29,C64,470,Kidney,2,29,19,44,29,6.0,13.1,0.69
30,C67,470,Bladder,2,29,19,44,29,4.2,13.1,0.56
31,C70-72,470," Brain, central nervous system",2,17,10,29,17,4.5,7.7,0.50
32,C73,470,Thyroid,2,53,38,74,53,18.3,24.0,1.7
33,C81,470,Hodgkin lymphoma,2,8,4,16,8,3.1,3.6,0.26
34,C82-86+C88,470,Non-Hodgkin lymphoma,2,53,38,73,53,11.0,24.0,1.2
35,C90,470,Multiple myeloma,2,16,8,30,16,2.7,7.2,0.29
36,C91-95,470,Leukaemia,2,22,14,36,22,5.2,10.0,0.46
