Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,470,All cancers,1,1529,1416,1651,1529,299.8,686.2,28.7
1,C00-06,470,"Lip, oral cavity",1,15,9,26,15,3.2,6.7,0.40
2,C07-08,470,Salivary glands,1,2,1,7,2,0.31,0.90,0.04
3,C09-10,470,Oropharynx,1,5,2,14,5,0.99,2.2,0.15
4,C11,470,Nasopharynx,1,4,2,10,4,0.94,1.8,0.14
5,C12-13,470,Hypopharynx,1,2,0,8,2,0.49,0.90,0.07
6,C15,470,Oesophagus,1,17,8,37,17,2.8,7.6,0.29
7,C16,470,Stomach,1,45,32,63,45,7.6,20.2,0.83
41,C18-C21,470,Colorectum,1,161,-,-,161,31.0,72.3,3.5
11,C22,470,Liver and intrahepatic bile ducts,1,38,25,57,38,7.1,17.1,0.79
12,C23,470,Gallbladder,1,1,0,5,1,0.15,0.45,0.04
13,C25,470,Pancreas,1,53,38,73,53,10.4,23.8,1.2
14,C32,470,Larynx,1,21,13,34,21,4.5,9.4,0.58
15,C33-34,470,"Trachea, bronchus and lung",1,164,129,208,164,27.7,73.6,3.2
16,C43,470,Melanoma of skin,1,45,32,64,45,11.2,20.2,1.2
17,C44,470,Non-melanoma skin cancer,1,85,25,291,85,10.8,38.1,0.62
18,C45,470,Mesothelioma,1,12,5,27,12,1.7,5.4,0.15
19,C46,470,Kaposi sarcoma,1,4,0,32,4,0.62,1.8,0.07
26,C60,470,Penis,1,5,2,13,5,1.3,2.2,0.14
27,C61,470,Prostate,1,284,230,351,284,50.4,127.5,6.3
28,C62,470,Testis,1,23,14,36,23,9.1,10.3,0.74
29,C64,470,Kidney,1,63,47,84,63,14.1,28.3,1.7
30,C67,470,Bladder,1,96,68,135,96,16.8,43.1,2.0
31,C70-72,470," Brain, central nervous system",1,24,15,38,24,6.0,10.8,0.62
32,C73,470,Thyroid,1,23,13,39,23,6.7,10.3,0.68
33,C81,470,Hodgkin lymphoma,1,11,6,20,11,3.5,4.9,0.29
34,C82-86+C88,470,Non-Hodgkin lymphoma,1,78,58,105,78,18.2,35.0,2.1
35,C90,470,Multiple myeloma,1,16,10,27,16,2.2,7.2,0.26
36,C91-95,470,Leukaemia,1,29,20,43,29,7.0,13.0,0.67
