Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,484,All cancers,1,95954,95125,96790,95954,141.3,149.1,14.7
1,C00-06,484,"Lip, oral cavity",1,799,483,1323,799,1.2,1.2,0.15
2,C07-08,484,Salivary glands,1,253,137,466,253,0.37,0.39,0.04
3,C09-10,484,Oropharynx,1,285,177,459,285,0.41,0.44,0.05
4,C11,484,Nasopharynx,1,177,89,350,177,0.26,0.28,0.03
5,C12-13,484,Hypopharynx,1,119,44,320,119,0.17,0.18,0.02
6,C15,484,Oesophagus,1,1077,892,1301,1077,1.6,1.7,0.19
7,C16,484,Stomach,1,5039,4517,5622,5039,7.3,7.8,0.84
41,C18-C21,484,Colorectum,1,8359,-,-,8359,12.3,13.0,1.4
11,C22,484,Liver and intrahepatic bile ducts,1,4260,3865,4696,4260,6.3,6.6,0.72
12,C23,484,Gallbladder,1,251,156,404,251,0.36,0.39,0.04
13,C25,484,Pancreas,1,2815,2516,3150,2815,4.1,4.4,0.50
14,C32,484,Larynx,1,969,766,1226,969,1.4,1.5,0.17
15,C33-34,484,"Trachea, bronchus and lung",1,5062,4662,5497,5062,7.3,7.9,0.86
16,C43,484,Melanoma of skin,1,1225,631,2377,1225,1.8,1.9,0.20
17,C44,484,Non-melanoma skin cancer,1,5136,616,42794,5136,7.2,8.0,0.79
18,C45,484,Mesothelioma,1,259,183,366,259,0.39,0.40,0.05
19,C46,484,Kaposi sarcoma,1,434,47,3986,434,0.61,0.67,0.05
26,C60,484,Penis,1,758,272,2113,758,1.1,1.2,0.12
27,C61,484,Prostate,1,26565,22142,31872,26565,39.1,41.3,4.8
28,C62,484,Testis,1,3580,1600,8009,3580,5.1,5.6,0.38
29,C64,484,Kidney,1,4305,3615,5127,4305,6.5,6.7,0.75
30,C67,484,Bladder,1,2781,1868,4140,2781,4.0,4.3,0.47
31,C70-72,484," Brain, central nervous system",1,1909,1608,2267,1909,2.9,3.0,0.27
32,C73,484,Thyroid,1,2335,303,17983,2335,3.4,3.6,0.33
33,C81,484,Hodgkin lymphoma,1,1389,564,3422,1389,2.1,2.2,0.18
34,C82-86+C88,484,Non-Hodgkin lymphoma,1,5173,3636,7360,5173,7.7,8.0,0.83
35,C90,484,Multiple myeloma,1,1292,972,1717,1292,1.9,2.0,0.24
36,C91-95,484,Leukaemia,1,4050,3526,4652,4050,6.4,6.3,0.51
