Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,496,All cancers,2,3200,3078,3327,3200,202.0,186.5,21.4
1,C00-06,496,"Lip, oral cavity",2,18,7,44,18,1.2,1.1,0.14
2,C07-08,496,Salivary glands,2,11,3,35,11,0.66,0.64,0.08
3,C09-10,496,Oropharynx,2,4,0,36,4,0.23,0.23,0.02
4,C11,496,Nasopharynx,2,8,2,31,8,0.42,0.47,0.04
5,C12-13,496,Hypopharynx,2,1,0,9,1,0.08,0.06,0.00
6,C15,496,Oesophagus,2,181,137,239,181,12.6,10.6,1.5
7,C16,496,Stomach,2,339,277,415,339,21.9,19.8,2.6
41,C18-C21,496,Colorectum,2,103,-,-,103,6.6,6.0,0.82
11,C22,496,Liver and intrahepatic bile ducts,2,1225,1100,1364,1225,81.0,71.4,9.9
12,C23,496,Gallbladder,2,5,1,36,5,0.31,0.29,0.03
13,C25,496,Pancreas,2,75,48,116,75,4.8,4.4,0.59
14,C32,496,Larynx,2,6,1,29,6,0.42,0.35,0.05
15,C33-34,496,"Trachea, bronchus and lung",2,96,67,137,96,6.4,5.6,0.75
16,C43,496,Melanoma of skin,2,3,0,27,3,0.20,0.17,0.03
17,C44,496,Non-melanoma skin cancer,2,28,14,57,28,1.9,1.6,0.18
18,C45,496,Mesothelioma,2,4,0,36,4,0.28,0.23,0.05
19,C46,496,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,496,Breast,2,227,176,293,227,12.6,13.2,1.4
21,C51,496,Vulva,2,6,1,44,6,0.42,0.35,0.04
22,C52,496,Vagina,2,10,2,47,10,0.63,0.58,0.07
23,C53,496,Cervix uteri,2,361,292,446,361,20.2,21.0,2.1
24,C54,496,Corpus uteri,2,31,16,61,31,1.9,1.8,0.22
25,C56,496,Ovary,2,98,67,144,98,5.7,5.7,0.60
29,C64,496,Kidney,2,64,40,103,64,3.7,3.7,0.41
30,C67,496,Bladder,2,10,3,33,10,0.60,0.58,0.07
31,C70-72,496," Brain, central nervous system",2,47,27,82,47,3.0,2.7,0.32
32,C73,496,Thyroid,2,34,17,67,34,1.9,2.0,0.19
33,C81,496,Hodgkin lymphoma,2,6,1,44,6,0.36,0.35,0.04
34,C82-86+C88,496,Non-Hodgkin lymphoma,2,26,12,55,26,1.6,1.5,0.19
35,C90,496,Multiple myeloma,2,3,0,27,3,0.19,0.17,0.02
36,C91-95,496,Leukaemia,2,30,15,60,30,1.8,1.8,0.14
