Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,499,All cancers,2,1324,1190,1474,1324,221.1,417.2,22.7
1,C00-06,499,"Lip, oral cavity",2,14,6,30,14,2.2,4.4,0.17
2,C07-08,499,Salivary glands,2,4,1,27,4,0.44,1.3,0.05
3,C09-10,499,Oropharynx,2,4,1,18,4,0.63,1.3,0.11
4,C11,499,Nasopharynx,2,1,0,10,1,0.13,0.32,0.03
5,C12-13,499,Hypopharynx,2,2,0,10,2,0.32,0.63,0.06
6,C15,499,Oesophagus,2,6,2,16,6,1.0,1.9,0.13
7,C16,499,Stomach,2,16,8,31,16,2.1,5.0,0.25
41,C18-C21,499,Colorectum,2,102,-,-,102,15.3,32.1,1.9
11,C22,499,Liver and intrahepatic bile ducts,2,30,14,63,30,3.7,9.5,0.38
12,C23,499,Gallbladder,2,8,3,24,8,1.0,2.5,0.13
13,C25,499,Pancreas,2,34,22,52,34,4.7,10.7,0.51
14,C32,499,Larynx,2,11,3,43,11,1.3,3.5,0.16
15,C33-34,499,"Trachea, bronchus and lung",2,109,82,145,109,17.2,34.3,2.1
16,C43,499,Melanoma of skin,2,45,19,107,45,8.0,14.2,1.0
17,C44,499,Non-melanoma skin cancer,2,96,20,461,96,12.8,30.3,1.5
18,C45,499,Mesothelioma,2,1,0,10,1,0.13,0.32,0.03
19,C46,499,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,499,Breast,2,416,327,530,416,76.5,131.1,8.4
21,C51,499,Vulva,2,2,1,6,2,0.30,0.63,0.05
22,C52,499,Vagina,2,2,0,10,2,0.26,0.63,0.06
23,C53,499,Cervix uteri,2,58,39,86,58,12.0,18.3,1.3
24,C54,499,Corpus uteri,2,95,59,152,95,17.5,29.9,2.1
25,C56,499,Ovary,2,33,21,53,33,4.8,10.4,0.61
29,C64,499,Kidney,2,19,4,90,19,2.5,6.0,0.33
30,C67,499,Bladder,2,22,6,74,22,2.7,6.9,0.33
31,C70-72,499," Brain, central nervous system",2,31,15,62,31,5.4,9.8,0.50
32,C73,499,Thyroid,2,23,12,42,23,5.2,7.3,0.57
33,C81,499,Hodgkin lymphoma,2,10,4,25,10,2.6,3.2,0.26
34,C82-86+C88,499,Non-Hodgkin lymphoma,2,25,10,62,25,4.3,7.9,0.49
35,C90,499,Multiple myeloma,2,9,4,22,9,1.4,2.8,0.15
36,C91-95,499,Leukaemia,2,19,11,33,19,4.0,6.0,0.30
