Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,499,All cancers,1,1415,1293,1549,1415,261.9,455.6,27.1
1,C00-06,499,"Lip, oral cavity",1,11,6,22,11,2.1,3.5,0.35
2,C07-08,499,Salivary glands,1,2,0,13,2,0.26,0.64,0.00
3,C09-10,499,Oropharynx,1,5,1,19,5,1.2,1.6,0.12
4,C11,499,Nasopharynx,1,1,0,10,1,0.16,0.32,0.04
5,C12-13,499,Hypopharynx,1,7,3,16,7,1.4,2.3,0.20
6,C15,499,Oesophagus,1,16,8,32,16,3.0,5.2,0.34
7,C16,499,Stomach,1,34,23,50,34,6.1,11.0,0.81
41,C18-C21,499,Colorectum,1,158,-,-,158,28.6,50.9,3.4
11,C22,499,Liver and intrahepatic bile ducts,1,36,21,61,36,6.0,11.6,0.71
12,C23,499,Gallbladder,1,4,1,20,4,0.57,1.3,0.04
13,C25,499,Pancreas,1,42,28,62,42,7.2,13.5,0.79
14,C32,499,Larynx,1,38,24,61,38,7.0,12.2,0.87
15,C33-34,499,"Trachea, bronchus and lung",1,310,262,366,310,58.8,99.8,7.5
16,C43,499,Melanoma of skin,1,35,18,69,35,6.8,11.3,0.81
17,C44,499,Non-melanoma skin cancer,1,133,28,639,133,22.3,42.8,2.5
18,C45,499,Mesothelioma,1,2,0,10,2,0.33,0.64,0.07
19,C46,499,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,499,Penis,1,2,0,8,2,0.34,0.64,0.06
27,C61,499,Prostate,1,220,162,299,220,36.1,70.8,4.3
28,C62,499,Testis,1,22,3,151,22,6.8,7.1,0.52
29,C64,499,Kidney,1,29,18,47,29,5.7,9.3,0.76
30,C67,499,Bladder,1,85,56,130,85,14.4,27.4,1.8
31,C70-72,499," Brain, central nervous system",1,46,23,91,46,10.4,14.8,1.0
32,C73,499,Thyroid,1,11,6,22,11,2.9,3.5,0.27
33,C81,499,Hodgkin lymphoma,1,10,3,38,10,2.5,3.2,0.27
34,C82-86+C88,499,Non-Hodgkin lymphoma,1,32,18,57,32,6.8,10.3,0.88
35,C90,499,Multiple myeloma,1,6,2,16,6,1.1,1.9,0.12
36,C91-95,499,Leukaemia,1,26,14,47,26,6.0,8.4,0.53
