Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,104,All cancers,1,35822,35317,36334,35822,147.2,134.6,15.2
1,C00-06,104,"Lip, oral cavity",1,1654,1525,1794,1654,6.6,6.2,0.73
2,C07-08,104,Salivary glands,1,173,116,257,173,0.66,0.65,0.08
3,C09-10,104,Oropharynx,1,598,491,728,598,2.4,2.3,0.28
4,C11,104,Nasopharynx,1,1400,527,3722,1400,5.1,5.3,0.56
5,C12-13,104,Hypopharynx,1,1247,682,2278,1247,4.9,4.7,0.57
6,C15,104,Oesophagus,1,2959,2566,3412,2959,11.5,11.1,1.3
7,C16,104,Stomach,1,3753,3035,4642,3753,15.9,14.1,1.8
41,C18-C21,104,Colorectum,1,2843,-,-,2843,11.8,10.7,1.3
11,C22,104,Liver and intrahepatic bile ducts,1,4003,3372,4751,4003,16.2,15.0,1.8
12,C23,104,Gallbladder,1,267,243,294,267,1.2,1.0,0.13
13,C25,104,Pancreas,1,409,371,451,409,1.7,1.5,0.19
14,C32,104,Larynx,1,1125,988,1280,1125,4.5,4.2,0.52
15,C33-34,104,"Trachea, bronchus and lung",1,4983,4735,5244,4983,21.6,18.7,2.5
16,C43,104,Melanoma of skin,1,76,64,91,76,0.34,0.29,0.04
17,C44,104,Non-melanoma skin cancer,1,803,615,1049,803,3.4,3.0,0.33
18,C45,104,Mesothelioma,1,7,3,19,7,0.03,0.03,0.01
19,C46,104,Kaposi sarcoma,1,11,1,162,11,0.04,0.04,0.00
26,C60,104,Penis,1,347,294,409,347,1.5,1.3,0.16
27,C61,104,Prostate,1,904,883,926,904,4.2,3.4,0.52
28,C62,104,Testis,1,153,101,232,153,0.52,0.57,0.04
29,C64,104,Kidney,1,372,350,396,372,1.6,1.4,0.18
30,C67,104,Bladder,1,666,630,704,666,2.9,2.5,0.35
31,C70-72,104," Brain, central nervous system",1,546,513,581,546,2.3,2.1,0.22
32,C73,104,Thyroid,1,388,329,458,388,1.4,1.5,0.14
33,C81,104,Hodgkin lymphoma,1,88,59,131,88,0.34,0.33,0.04
34,C82-86+C88,104,Non-Hodgkin lymphoma,1,1058,1008,1110,1058,4.2,4.0,0.44
35,C90,104,Multiple myeloma,1,107,101,113,107,0.45,0.40,0.05
36,C91-95,104,Leukaemia,1,1089,1027,1154,1089,4.6,4.1,0.36
