Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,516,All cancers,1,1540,1459,1626,1540,221.4,120.6,21.0
1,C00-06,516,"Lip, oral cavity",1,65,43,98,65,9.8,5.1,1.1
2,C07-08,516,Salivary glands,1,11,4,33,11,1.5,0.86,0.17
3,C09-10,516,Oropharynx,1,14,5,42,14,2.2,1.1,0.29
4,C11,516,Nasopharynx,1,6,2,21,6,0.72,0.47,0.08
5,C12-13,516,Hypopharynx,1,6,2,20,6,0.92,0.47,0.10
6,C15,516,Oesophagus,1,30,15,59,30,4.8,2.4,0.60
7,C16,516,Stomach,1,24,11,51,24,3.6,1.9,0.36
41,C18-C21,516,Colorectum,1,75,-,-,75,10.4,5.9,1.3
11,C22,516,Liver and intrahepatic bile ducts,1,40,22,72,40,5.3,3.1,0.56
12,C23,516,Gallbladder,1,0,0,0,0,0.00,0.00,0.00
13,C25,516,Pancreas,1,12,2,62,12,1.8,0.94,0.26
14,C32,516,Larynx,1,30,16,55,30,5.0,2.4,0.69
15,C33-34,516,"Trachea, bronchus and lung",1,52,31,88,52,8.3,4.1,1.0
16,C43,516,Melanoma of skin,1,29,15,57,29,4.7,2.3,0.46
17,C44,516,Non-melanoma skin cancer,1,136,93,198,136,22.0,10.7,2.4
18,C45,516,Mesothelioma,1,1,0,8,1,0.20,0.08,0.03
19,C46,516,Kaposi sarcoma,1,221,166,294,221,21.2,17.3,1.8
26,C60,516,Penis,1,16,8,33,16,2.2,1.3,0.21
27,C61,516,Prostate,1,347,283,425,347,63.8,27.2,6.5
28,C62,516,Testis,1,10,4,24,10,0.95,0.78,0.10
29,C64,516,Kidney,1,26,13,54,26,3.3,2.0,0.33
30,C67,516,Bladder,1,29,15,57,29,4.9,2.3,0.59
31,C70-72,516," Brain, central nervous system",1,17,6,45,17,1.7,1.3,0.16
32,C73,516,Thyroid,1,3,0,25,3,0.35,0.23,0.02
33,C81,516,Hodgkin lymphoma,1,6,1,27,6,0.46,0.47,0.04
34,C82-86+C88,516,Non-Hodgkin lymphoma,1,82,53,126,82,9.4,6.4,0.95
35,C90,516,Multiple myeloma,1,12,4,35,12,1.8,0.94,0.22
36,C91-95,516,Leukaemia,1,35,18,67,35,4.1,2.7,0.37
