Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,554,All cancers,1,20562,20268,20860,20562,473.4,854.2,43.0
1,C00-06,554,"Lip, oral cavity",1,242,184,318,242,5.9,10.1,0.69
2,C07-08,554,Salivary glands,1,21,14,31,21,0.50,0.87,0.06
3,C09-10,554,Oropharynx,1,80,53,120,80,2.2,3.3,0.26
4,C11,554,Nasopharynx,1,25,12,51,25,0.73,1.0,0.08
5,C12-13,554,Hypopharynx,1,25,12,51,25,0.53,1.0,0.08
6,C15,554,Oesophagus,1,266,213,332,266,5.3,11.1,0.64
7,C16,554,Stomach,1,286,255,321,286,6.3,11.9,0.72
41,C18-C21,554,Colorectum,1,2255,-,-,2255,46.1,93.7,5.4
11,C22,554,Liver and intrahepatic bile ducts,1,238,189,300,238,5.6,9.9,0.67
12,C23,554,Gallbladder,1,24,12,50,24,0.44,1.0,0.05
13,C25,554,Pancreas,1,337,278,409,337,6.7,14.0,0.78
14,C32,554,Larynx,1,114,81,160,114,2.5,4.7,0.32
15,C33-34,554,"Trachea, bronchus and lung",1,1659,1521,1809,1659,33.1,68.9,4.0
16,C43,554,Melanoma of skin,1,1547,1420,1686,1547,35.1,64.3,3.9
17,C44,554,Non-melanoma skin cancer,1,5796,736,45619,5796,148.0,240.8,15.9
18,C45,554,Mesothelioma,1,102,67,155,102,1.8,4.2,0.20
19,C46,554,Kaposi sarcoma,1,5,1,39,5,0.17,0.21,0.02
26,C60,554,Penis,1,17,7,40,17,0.35,0.71,0.04
27,C61,554,Prostate,1,3769,3574,3975,3769,82.9,156.6,10.7
28,C62,554,Testis,1,177,131,238,177,7.2,7.4,0.56
29,C64,554,Kidney,1,473,378,591,473,11.4,19.7,1.3
30,C67,554,Bladder,1,498,425,583,498,9.3,20.7,1.0
31,C70-72,554," Brain, central nervous system",1,221,175,278,221,6.4,9.2,0.66
32,C73,554,Thyroid,1,143,106,192,143,4.2,5.9,0.44
33,C81,554,Hodgkin lymphoma,1,59,37,93,59,2.0,2.5,0.17
34,C82-86+C88,554,Non-Hodgkin lymphoma,1,532,457,620,532,12.3,22.1,1.4
35,C90,554,Multiple myeloma,1,240,191,302,240,4.8,10.0,0.56
36,C91-95,554,Leukaemia,1,481,408,566,481,11.5,20.0,1.1
