Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,558,All cancers,1,3763,3602,3932,3763,136.4,112.6,13.4
1,C00-06,558,"Lip, oral cavity",1,19,2,160,19,0.70,0.57,0.09
2,C07-08,558,Salivary glands,1,13,1,191,13,0.43,0.39,0.05
3,C09-10,558,Oropharynx,1,19,4,87,19,0.64,0.57,0.07
4,C11,558,Nasopharynx,1,21,4,113,21,0.74,0.63,0.08
5,C12-13,558,Hypopharynx,1,6,1,70,6,0.20,0.18,0.01
6,C15,558,Oesophagus,1,38,19,76,38,1.4,1.1,0.14
7,C16,558,Stomach,1,316,219,456,316,11.7,9.5,1.2
41,C18-C21,558,Colorectum,1,287,-,-,287,10.7,8.6,1.2
11,C22,558,Liver and intrahepatic bile ducts,1,312,250,390,312,11.7,9.3,1.3
12,C23,558,Gallbladder,1,22,7,69,22,0.84,0.66,0.11
13,C25,558,Pancreas,1,113,74,173,113,4.3,3.4,0.49
14,C32,558,Larynx,1,58,28,119,58,2.2,1.7,0.32
15,C33-34,558,"Trachea, bronchus and lung",1,188,132,268,188,7.1,5.6,0.81
16,C43,558,Melanoma of skin,1,32,3,328,32,1.2,0.96,0.14
17,C44,558,Non-melanoma skin cancer,1,117,8,1721,117,4.4,3.5,0.46
18,C45,558,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,558,Kaposi sarcoma,1,16,1,235,16,0.47,0.48,0.04
26,C60,558,Penis,1,42,4,446,42,1.5,1.3,0.16
27,C61,558,Prostate,1,975,627,1516,975,36.8,29.2,3.7
28,C62,558,Testis,1,72,5,1059,72,2.1,2.2,0.13
29,C64,558,Kidney,1,101,29,354,101,3.8,3.0,0.48
30,C67,558,Bladder,1,49,8,304,49,1.8,1.5,0.20
31,C70-72,558," Brain, central nervous system",1,69,38,125,69,2.3,2.1,0.22
32,C73,558,Thyroid,1,65,4,956,65,2.2,2.0,0.22
33,C81,558,Hodgkin lymphoma,1,56,4,824,56,1.9,1.7,0.18
34,C82-86+C88,558,Non-Hodgkin lymphoma,1,175,52,585,175,5.9,5.2,0.64
35,C90,558,Multiple myeloma,1,18,6,54,18,0.71,0.54,0.10
36,C91-95,558,Leukaemia,1,288,171,484,288,8.9,8.6,0.67
