Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,578,All cancers,1,21733,21364,22109,21733,383.6,779.3,36.0
1,C00-06,578,"Lip, oral cavity",1,270,221,330,270,4.9,9.7,0.60
2,C07-08,578,Salivary glands,1,43,30,62,43,0.80,1.5,0.08
3,C09-10,578,Oropharynx,1,116,76,178,116,2.5,4.2,0.32
4,C11,578,Nasopharynx,1,8,4,17,8,0.17,0.29,0.02
5,C12-13,578,Hypopharynx,1,26,17,40,26,0.47,0.93,0.07
6,C15,578,Oesophagus,1,273,219,341,273,4.8,9.8,0.58
7,C16,578,Stomach,1,343,285,413,343,5.9,12.3,0.67
41,C18-C21,578,Colorectum,1,2811,-,-,2811,47.2,100.8,5.3
11,C22,578,Liver and intrahepatic bile ducts,1,307,242,389,307,5.4,11.0,0.63
12,C23,578,Gallbladder,1,15,8,27,15,0.24,0.54,0.03
13,C25,578,Pancreas,1,580,498,675,580,9.0,20.8,0.94
14,C32,578,Larynx,1,92,68,124,92,1.6,3.3,0.20
15,C33-34,578,"Trachea, bronchus and lung",1,1799,1617,2001,1799,28.7,64.5,3.4
16,C43,578,Melanoma of skin,1,1622,1432,1838,1622,30.0,58.2,3.3
17,C44,578,Non-melanoma skin cancer,1,1544,1323,1802,1544,20.9,55.4,1.8
18,C45,578,Mesothelioma,1,72,45,115,72,1.0,2.6,0.11
19,C46,578,Kaposi sarcoma,1,8,3,19,8,0.12,0.29,0.01
26,C60,578,Penis,1,68,52,90,68,1.2,2.4,0.12
27,C61,578,Prostate,1,6276,5957,6612,6276,109.9,225.0,13.6
28,C62,578,Testis,1,341,292,399,341,11.3,12.2,0.90
29,C64,578,Kidney,1,789,692,900,789,15.7,28.3,1.8
30,C67,578,Bladder,1,1324,1202,1459,1324,20.8,47.5,2.3
31,C70-72,578," Brain, central nervous system",1,357,289,441,357,8.3,12.8,0.83
32,C73,578,Thyroid,1,219,157,306,219,5.1,7.9,0.54
33,C81,578,Hodgkin lymphoma,1,91,65,128,91,2.7,3.3,0.24
34,C82-86+C88,578,Non-Hodgkin lymphoma,1,667,583,763,667,12.8,23.9,1.4
35,C90,578,Multiple myeloma,1,318,230,439,318,5.4,11.4,0.63
36,C91-95,578,Leukaemia,1,558,476,654,558,11.6,20.0,1.2
