Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,512,All cancers,1,2473,2372,2579,2473,111.5,70.6,12.0
1,C00-06,512,"Lip, oral cavity",1,58,36,93,58,2.0,1.7,0.22
2,C07-08,512,Salivary glands,1,11,3,45,11,0.29,0.31,0.03
3,C09-10,512,Oropharynx,1,10,1,80,10,0.32,0.29,0.04
4,C11,512,Nasopharynx,1,24,11,50,24,0.81,0.69,0.09
5,C12-13,512,Hypopharynx,1,11,2,80,11,0.40,0.31,0.05
6,C15,512,Oesophagus,1,24,11,50,24,1.4,0.69,0.18
7,C16,512,Stomach,1,187,147,237,187,11.0,5.3,1.3
41,C18-C21,512,Colorectum,1,327,-,-,327,13.4,9.3,1.5
11,C22,512,Liver and intrahepatic bile ducts,1,116,83,163,116,5.7,3.3,0.68
12,C23,512,Gallbladder,1,26,8,89,26,1.2,0.74,0.15
13,C25,512,Pancreas,1,72,47,109,72,4.0,2.1,0.45
14,C32,512,Larynx,1,40,23,71,40,2.0,1.1,0.23
15,C33-34,512,"Trachea, bronchus and lung",1,124,90,171,124,7.0,3.5,0.88
16,C43,512,Melanoma of skin,1,10,2,64,10,0.55,0.29,0.07
17,C44,512,Non-melanoma skin cancer,1,37,20,69,37,1.8,1.1,0.22
18,C45,512,Mesothelioma,1,4,0,32,4,0.19,0.11,0.03
19,C46,512,Kaposi sarcoma,1,12,2,59,12,0.36,0.34,0.04
26,C60,512,Penis,1,1,0,8,1,0.03,0.03,0.00
27,C61,512,Prostate,1,217,170,277,217,15.1,6.2,1.9
28,C62,512,Testis,1,35,20,60,35,0.67,1.0,0.05
29,C64,512,Kidney,1,67,44,102,67,2.8,1.9,0.30
30,C67,512,Bladder,1,140,104,189,140,7.3,4.0,0.91
31,C70-72,512," Brain, central nervous system",1,100,69,144,100,3.4,2.9,0.30
32,C73,512,Thyroid,1,56,35,91,56,1.4,1.6,0.15
33,C81,512,Hodgkin lymphoma,1,97,67,140,97,2.5,2.8,0.22
34,C82-86+C88,512,Non-Hodgkin lymphoma,1,188,144,245,188,6.8,5.4,0.74
35,C90,512,Multiple myeloma,1,46,27,78,46,2.1,1.3,0.27
36,C91-95,512,Leukaemia,1,175,134,229,175,6.2,5.0,0.54
