Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,586,All cancers,2,98180,97435,98930,98180,111.8,88.1,11.6
1,C00-06,586,"Lip, oral cavity",2,5170,4876,5481,5170,6.2,4.6,0.70
2,C07-08,586,Salivary glands,2,414,340,504,414,0.45,0.37,0.05
3,C09-10,586,Oropharynx,2,244,168,355,244,0.28,0.22,0.03
4,C11,586,Nasopharynx,2,250,193,325,250,0.26,0.22,0.02
5,C12-13,586,Hypopharynx,2,553,464,659,553,0.64,0.50,0.07
6,C15,586,Oesophagus,2,4513,4241,4803,4513,5.3,4.1,0.59
7,C16,586,Stomach,2,2530,2331,2746,2530,3.0,2.3,0.32
41,C18-C21,586,Colorectum,2,3868,-,-,3868,4.5,3.5,0.49
11,C22,586,Liver and intrahepatic bile ducts,2,2705,2496,2932,2705,3.4,2.4,0.39
12,C23,586,Gallbladder,2,2014,1837,2208,2014,2.6,1.8,0.29
13,C25,586,Pancreas,2,294,231,374,294,0.36,0.26,0.04
14,C32,586,Larynx,2,652,555,767,652,0.77,0.59,0.09
15,C33-34,586,"Trachea, bronchus and lung",2,1893,1724,2078,1893,2.3,1.7,0.27
16,C43,586,Melanoma of skin,2,235,179,308,235,0.28,0.21,0.03
17,C44,586,Non-melanoma skin cancer,2,1997,1821,2190,1997,2.5,1.8,0.27
18,C45,586,Mesothelioma,2,11,1,107,11,0.01,0.01,0.00
19,C46,586,Kaposi sarcoma,2,39,4,424,39,0.05,0.04,0.01
20,C50,586,Breast,2,30682,29929,31454,30682,34.2,27.5,3.7
21,C51,586,Vulva,2,252,197,323,252,0.30,0.23,0.04
22,C52,586,Vagina,2,252,194,327,252,0.29,0.23,0.03
23,C53,586,Cervix uteri,2,4762,4478,5064,4762,5.4,4.3,0.60
24,C54,586,Corpus uteri,2,3037,2809,3283,3037,3.8,2.7,0.47
25,C56,586,Ovary,2,4987,4698,5294,4987,5.6,4.5,0.61
29,C64,586,Kidney,2,1318,1173,1481,1318,1.5,1.2,0.16
30,C67,586,Bladder,2,980,847,1134,980,1.2,0.88,0.14
31,C70-72,586," Brain, central nervous system",2,2190,2003,2394,2190,2.2,2.0,0.22
32,C73,586,Thyroid,2,2141,1958,2341,2141,2.2,1.9,0.21
33,C81,586,Hodgkin lymphoma,2,603,510,713,603,0.58,0.54,0.05
34,C82-86+C88,586,Non-Hodgkin lymphoma,2,2816,2604,3046,2816,3.3,2.5,0.37
35,C90,586,Multiple myeloma,2,913,796,1047,913,1.1,0.82,0.14
36,C91-95,586,Leukaemia,2,3183,2955,3428,3183,2.9,2.9,0.23
