Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,586,All cancers,1,87568,86865,88277,87568,99.5,74.2,10.5
1,C00-06,586,"Lip, oral cavity",1,10745,10316,11192,10745,12.1,9.1,1.4
2,C07-08,586,Salivary glands,1,532,444,637,532,0.57,0.45,0.06
3,C09-10,586,Oropharynx,1,821,699,965,821,0.94,0.70,0.09
4,C11,586,Nasopharynx,1,558,467,667,558,0.56,0.47,0.05
5,C12-13,586,Hypopharynx,1,1378,1237,1536,1378,1.6,1.2,0.18
6,C15,586,Oesophagus,1,4776,4500,5069,4776,5.7,4.0,0.65
7,C16,586,Stomach,1,3438,3202,3691,3438,4.0,2.9,0.44
41,C18-C21,586,Colorectum,1,5579,-,-,5579,6.3,4.7,0.70
11,C22,586,Liver and intrahepatic bile ducts,1,3416,3181,3669,3416,4.2,2.9,0.49
12,C23,586,Gallbladder,1,827,716,955,827,1.0,0.70,0.12
13,C25,586,Pancreas,1,822,711,950,822,1.0,0.70,0.12
14,C32,586,Larynx,1,3335,3102,3585,3335,4.1,2.8,0.49
15,C33-34,586,"Trachea, bronchus and lung",1,7571,7225,7933,7571,9.5,6.4,1.1
16,C43,586,Melanoma of skin,1,282,220,361,282,0.33,0.24,0.04
17,C44,586,Non-melanoma skin cancer,1,2813,2605,3037,2813,3.3,2.4,0.36
18,C45,586,Mesothelioma,1,32,9,108,32,0.04,0.03,0.00
19,C46,586,Kaposi sarcoma,1,39,12,131,39,0.03,0.03,0.00
26,C60,586,Penis,1,318,208,485,318,0.34,0.27,0.04
27,C61,586,Prostate,1,5198,4888,5528,5198,6.7,4.4,0.84
28,C62,586,Testis,1,860,747,990,860,0.70,0.73,0.05
29,C64,586,Kidney,1,1584,1428,1757,1584,1.8,1.3,0.20
30,C67,586,Bladder,1,4411,4121,4721,4411,5.4,3.7,0.65
31,C70-72,586," Brain, central nervous system",1,3152,2929,3392,3152,3.1,2.7,0.31
32,C73,586,Thyroid,1,994,870,1136,994,1.0,0.84,0.11
33,C81,586,Hodgkin lymphoma,1,1267,1128,1423,1267,1.1,1.1,0.10
34,C82-86+C88,586,Non-Hodgkin lymphoma,1,4480,4219,4757,4480,4.9,3.8,0.52
35,C90,586,Multiple myeloma,1,933,811,1073,933,1.1,0.79,0.13
36,C91-95,586,Leukaemia,1,4539,4271,4824,4539,4.0,3.8,0.31
