Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,604,All cancers,2,39103,38575,39638,39103,185.7,230.6,17.8
1,C00-06,604,"Lip, oral cavity",2,389,156,968,389,1.8,2.3,0.20
2,C07-08,604,Salivary glands,2,117,8,1721,117,0.58,0.69,0.06
3,C09-10,604,Oropharynx,2,46,3,677,46,0.23,0.27,0.03
4,C11,604,Nasopharynx,2,39,4,421,39,0.19,0.23,0.02
5,C12-13,604,Hypopharynx,2,42,3,618,42,0.21,0.25,0.03
6,C15,604,Oesophagus,2,100,53,189,100,0.44,0.59,0.05
7,C16,604,Stomach,2,2803,2472,3178,2803,12.0,16.5,1.3
41,C18-C21,604,Colorectum,2,2695,-,-,2695,11.8,15.9,1.3
11,C22,604,Liver and intrahepatic bile ducts,2,1126,941,1347,1126,5.0,6.6,0.56
12,C23,604,Gallbladder,2,823,555,1221,823,3.8,4.9,0.45
13,C25,604,Pancreas,2,1016,824,1253,1016,4.3,6.0,0.47
14,C32,604,Larynx,2,67,14,323,67,0.32,0.40,0.04
15,C33-34,604,"Trachea, bronchus and lung",2,1476,1289,1690,1476,6.7,8.7,0.77
16,C43,604,Melanoma of skin,2,668,244,1826,668,3.1,3.9,0.34
17,C44,604,Non-melanoma skin cancer,2,1428,115,17752,1428,5.2,8.4,0.38
18,C45,604,Mesothelioma,2,26,10,68,26,0.12,0.15,0.01
19,C46,604,Kaposi sarcoma,2,60,4,883,60,0.27,0.35,0.02
20,C50,604,Breast,2,7797,5272,11531,7797,39.3,46.0,4.1
21,C51,604,Vulva,2,276,41,1849,276,1.2,1.6,0.12
22,C52,604,Vagina,2,100,8,1310,100,0.45,0.59,0.06
23,C53,604,Cervix uteri,2,4809,3937,5874,4809,23.9,28.4,2.5
24,C54,604,Corpus uteri,2,1326,396,4443,1326,6.5,7.8,0.75
25,C56,604,Ovary,2,1164,896,1512,1164,5.8,6.9,0.63
29,C64,604,Kidney,2,725,300,1750,725,3.5,4.3,0.36
30,C67,604,Bladder,2,442,199,980,442,1.8,2.6,0.18
31,C70-72,604," Brain, central nervous system",2,442,348,561,442,2.4,2.6,0.20
32,C73,604,Thyroid,2,1848,303,11265,1848,9.4,10.9,0.97
33,C81,604,Hodgkin lymphoma,2,195,32,1199,195,0.98,1.2,0.08
34,C82-86+C88,604,Non-Hodgkin lymphoma,2,1702,1133,2556,1702,8.1,10.0,0.88
35,C90,604,Multiple myeloma,2,333,235,472,333,1.6,2.0,0.19
36,C91-95,604,Leukaemia,2,1253,995,1579,1253,6.9,7.4,0.56
