Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,620,All cancers,2,31702,30954,32468,31702,258.5,593.7,24.3
1,C00-06,620,"Lip, oral cavity",2,362,226,579,362,2.4,6.8,0.27
2,C07-08,620,Salivary glands,2,56,29,107,56,0.52,1.1,0.05
3,C09-10,620,Oropharynx,2,37,20,70,37,0.35,0.69,0.04
4,C11,620,Nasopharynx,2,26,13,53,26,0.24,0.49,0.03
5,C12-13,620,Hypopharynx,2,25,9,66,25,0.19,0.47,0.02
6,C15,620,Oesophagus,2,93,60,145,93,0.46,1.7,0.05
7,C16,620,Stomach,2,1505,1344,1685,1505,8.5,28.2,0.94
41,C18-C21,620,Colorectum,2,4483,-,-,4483,27.1,84.0,3.1
11,C22,620,Liver and intrahepatic bile ducts,2,470,392,563,470,2.6,8.8,0.28
12,C23,620,Gallbladder,2,112,81,154,112,0.67,2.1,0.08
13,C25,620,Pancreas,2,1054,916,1213,1054,5.1,19.7,0.55
14,C32,620,Larynx,2,38,21,68,38,0.32,0.71,0.04
15,C33-34,620,"Trachea, bronchus and lung",2,1902,1660,2180,1902,13.3,35.6,1.6
16,C43,620,Melanoma of skin,2,655,486,884,655,5.5,12.3,0.57
17,C44,620,Non-melanoma skin cancer,2,1254,974,1615,1254,5.8,23.5,0.56
18,C45,620,Mesothelioma,2,28,16,51,28,0.16,0.52,0.02
19,C46,620,Kaposi sarcoma,2,25,5,116,25,0.31,0.47,0.03
20,C50,620,Breast,2,8954,8133,9858,8954,88.8,167.7,9.2
21,C51,620,Vulva,2,196,120,320,196,0.78,3.7,0.08
22,C52,620,Vagina,2,47,26,84,47,0.27,0.88,0.03
23,C53,620,Cervix uteri,2,897,737,1092,897,11.1,16.8,1.0
24,C54,620,Corpus uteri,2,1401,1070,1834,1401,10.0,26.2,1.3
25,C56,620,Ovary,2,682,566,823,682,5.8,12.8,0.64
29,C64,620,Kidney,2,575,403,820,575,5.0,10.8,0.55
30,C67,620,Bladder,2,857,685,1073,857,4.6,16.1,0.54
31,C70-72,620," Brain, central nervous system",2,564,461,689,564,5.2,10.6,0.49
32,C73,620,Thyroid,2,1794,869,3702,1794,23.9,33.6,2.3
33,C81,620,Hodgkin lymphoma,2,148,83,264,148,2.8,2.8,0.21
34,C82-86+C88,620,Non-Hodgkin lymphoma,2,1201,1015,1421,1201,8.3,22.5,0.94
35,C90,620,Multiple myeloma,2,448,348,577,448,2.6,8.4,0.30
36,C91-95,620,Leukaemia,2,640,536,763,640,5.7,12.0,0.50
