Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,620,All cancers,1,37865,37138,38606,37865,342.7,788.7,33.5
1,C00-06,620,"Lip, oral cavity",1,931,691,1255,931,10.6,19.4,1.2
2,C07-08,620,Salivary glands,1,72,48,109,72,0.76,1.5,0.08
3,C09-10,620,Oropharynx,1,533,392,725,533,6.0,11.1,0.73
4,C11,620,Nasopharynx,1,81,56,118,81,1.1,1.7,0.12
5,C12-13,620,Hypopharynx,1,345,241,493,345,4.1,7.2,0.47
6,C15,620,Oesophagus,1,594,505,698,594,6.2,12.4,0.75
7,C16,620,Stomach,1,2163,1942,2409,2163,18.0,45.1,2.1
41,C18-C21,620,Colorectum,1,6092,-,-,6092,50.8,126.9,6.1
11,C22,620,Liver and intrahepatic bile ducts,1,1270,1123,1436,1270,11.6,26.5,1.4
12,C23,620,Gallbladder,1,57,37,89,57,0.46,1.2,0.06
13,C25,620,Pancreas,1,1104,967,1261,1104,8.8,23.0,1.0
14,C32,620,Larynx,1,688,561,844,688,7.2,14.3,0.87
15,C33-34,620,"Trachea, bronchus and lung",1,4253,3960,4568,4253,36.9,88.6,4.5
16,C43,620,Melanoma of skin,1,560,399,786,560,5.9,11.7,0.66
17,C44,620,Non-melanoma skin cancer,1,1713,1105,2656,1713,11.7,35.7,1.2
18,C45,620,Mesothelioma,1,51,35,75,51,0.40,1.1,0.05
19,C46,620,Kaposi sarcoma,1,77,33,178,77,1.1,1.6,0.11
26,C60,620,Penis,1,117,74,184,117,0.98,2.4,0.11
27,C61,620,Prostate,1,7529,6830,8299,7529,62.6,156.8,7.9
28,C62,620,Testis,1,293,164,524,293,6.3,6.1,0.48
29,C64,620,Kidney,1,1049,837,1315,1049,9.9,21.9,1.2
30,C67,620,Bladder,1,2660,2336,3029,2660,19.2,55.4,2.4
31,C70-72,620," Brain, central nervous system",1,639,549,743,639,7.4,13.3,0.75
32,C73,620,Thyroid,1,466,302,719,466,6.5,9.7,0.67
33,C81,620,Hodgkin lymphoma,1,189,118,303,189,3.6,3.9,0.29
34,C82-86+C88,620,Non-Hodgkin lymphoma,1,1236,1032,1481,1236,13.6,25.8,1.5
35,C90,620,Multiple myeloma,1,546,446,668,546,4.4,11.4,0.54
36,C91-95,620,Leukaemia,1,925,738,1160,925,10.0,19.3,0.94
