Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,630,All cancers,1,7486,7310,7667,7486,266.6,558.7,27.4
1,C00-06,630,"Lip, oral cavity",1,130,92,183,130,5.1,9.7,0.61
2,C07-08,630,Salivary glands,1,17,7,40,17,0.57,1.3,0.06
3,C09-10,630,Oropharynx,1,91,62,133,91,3.7,6.8,0.44
4,C11,630,Nasopharynx,1,21,10,46,21,0.87,1.6,0.11
5,C12-13,630,Hypopharynx,1,21,11,40,21,0.76,1.6,0.09
6,C15,630,Oesophagus,1,118,85,164,118,4.0,8.8,0.49
7,C16,630,Stomach,1,121,90,163,121,3.8,9.0,0.44
41,C18-C21,630,Colorectum,1,974,-,-,974,35.1,72.7,4.1
11,C22,630,Liver and intrahepatic bile ducts,1,305,253,367,305,10.6,22.8,1.4
12,C23,630,Gallbladder,1,6,1,26,6,0.17,0.45,0.02
13,C25,630,Pancreas,1,207,158,270,207,6.9,15.5,0.84
14,C32,630,Larynx,1,118,90,155,118,4.2,8.8,0.53
15,C33-34,630,"Trachea, bronchus and lung",1,471,401,554,471,14.9,35.2,1.8
16,C43,630,Melanoma of skin,1,58,36,94,58,2.1,4.3,0.23
17,C44,630,Non-melanoma skin cancer,1,316,257,389,316,12.5,23.6,1.2
18,C45,630,Mesothelioma,1,5,1,32,5,0.12,0.37,0.01
19,C46,630,Kaposi sarcoma,1,9,3,30,9,0.45,0.67,0.04
26,C60,630,Penis,1,45,26,77,45,1.6,3.4,0.18
27,C61,630,Prostate,1,2843,2658,3040,2843,95.2,212.2,11.8
28,C62,630,Testis,1,42,23,78,42,3.1,3.1,0.23
29,C64,630,Kidney,1,158,120,209,158,6.4,11.8,0.74
30,C67,630,Bladder,1,274,228,329,274,8.0,20.5,0.90
31,C70-72,630," Brain, central nervous system",1,59,40,87,59,3.1,4.4,0.30
32,C73,630,Thyroid,1,103,72,148,103,5.3,7.7,0.55
33,C81,630,Hodgkin lymphoma,1,40,22,72,40,2.5,3.0,0.20
34,C82-86+C88,630,Non-Hodgkin lymphoma,1,310,246,391,310,12.2,23.1,1.3
35,C90,630,Multiple myeloma,1,105,74,149,105,3.4,7.8,0.42
36,C91-95,630,Leukaemia,1,167,127,220,167,7.0,12.5,0.66
