Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,634,All cancers,2,640,586,699,640,119.7,85.1,12.7
1,C00-06,634,"Lip, oral cavity",2,5,1,46,5,1.5,0.66,0.20
2,C07-08,634,Salivary glands,2,2,0,18,2,0.24,0.27,0.02
3,C09-10,634,Oropharynx,2,0,0,0,0,0.00,0.00,0.00
4,C11,634,Nasopharynx,2,3,0,28,3,0.65,0.40,0.09
5,C12-13,634,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,634,Oesophagus,2,5,1,46,5,1.9,0.66,0.14
7,C16,634,Stomach,2,12,3,58,12,2.8,1.6,0.30
41,C18-C21,634,Colorectum,2,61,-,-,61,13.8,8.1,1.5
11,C22,634,Liver and intrahepatic bile ducts,2,12,3,43,12,3.7,1.6,0.48
12,C23,634,Gallbladder,2,6,1,55,6,2.1,0.80,0.23
13,C25,634,Pancreas,2,14,2,91,14,3.2,1.9,0.37
14,C32,634,Larynx,2,0,0,0,0,0.00,0.00,0.00
15,C33-34,634,"Trachea, bronchus and lung",2,15,4,54,15,4.6,2.0,0.55
16,C43,634,Melanoma of skin,2,1,0,9,1,0.15,0.13,0.01
17,C44,634,Non-melanoma skin cancer,2,6,1,55,6,1.2,0.80,0.15
18,C45,634,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,634,Kaposi sarcoma,2,1,0,9,1,0.07,0.13,0.01
20,C50,634,Breast,2,248,191,321,248,39.0,33.0,4.3
21,C51,634,Vulva,2,0,0,0,0,0.00,0.00,0.00
22,C52,634,Vagina,2,0,0,0,0,0.00,0.00,0.00
23,C53,634,Cervix uteri,2,25,10,61,25,4.7,3.3,0.49
24,C54,634,Corpus uteri,2,18,7,44,18,4.1,2.4,0.58
25,C56,634,Ovary,2,30,15,60,30,5.8,4.0,0.65
29,C64,634,Kidney,2,11,2,57,11,2.4,1.5,0.30
30,C67,634,Bladder,2,6,1,55,6,2.3,0.80,0.21
31,C70-72,634," Brain, central nervous system",2,10,2,56,10,1.4,1.3,0.12
32,C73,634,Thyroid,2,49,28,86,49,6.5,6.5,0.72
33,C81,634,Hodgkin lymphoma,2,8,1,64,8,0.99,1.1,0.07
34,C82-86+C88,634,Non-Hodgkin lymphoma,2,23,8,65,23,4.2,3.1,0.48
35,C90,634,Multiple myeloma,2,4,0,37,4,0.77,0.53,0.10
36,C91-95,634,Leukaemia,2,23,9,58,23,4.0,3.1,0.40
