Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,634,All cancers,1,1093,1022,1169,1093,70.7,49.1,8.2
1,C00-06,634,"Lip, oral cavity",1,28,7,105,28,1.6,1.3,0.20
2,C07-08,634,Salivary glands,1,7,1,64,7,0.20,0.31,0.02
3,C09-10,634,Oropharynx,1,4,0,37,4,0.19,0.18,0.02
4,C11,634,Nasopharynx,1,9,1,83,9,0.36,0.40,0.04
5,C12-13,634,Hypopharynx,1,4,0,37,4,0.26,0.18,0.04
6,C15,634,Oesophagus,1,11,1,91,11,0.62,0.49,0.09
7,C16,634,Stomach,1,41,19,88,41,4.0,1.8,0.41
41,C18-C21,634,Colorectum,1,121,-,-,121,7.3,5.4,0.96
11,C22,634,Liver and intrahepatic bile ducts,1,48,28,82,48,3.9,2.2,0.61
12,C23,634,Gallbladder,1,5,1,46,5,0.59,0.22,0.06
13,C25,634,Pancreas,1,21,6,69,21,1.5,0.94,0.20
14,C32,634,Larynx,1,18,3,94,18,0.97,0.81,0.14
15,C33-34,634,"Trachea, bronchus and lung",1,77,50,119,77,6.1,3.5,0.69
16,C43,634,Melanoma of skin,1,2,0,18,2,0.43,0.09,0.04
17,C44,634,Non-melanoma skin cancer,1,8,1,64,8,0.57,0.36,0.10
18,C45,634,Mesothelioma,1,3,0,28,3,0.19,0.13,0.03
19,C46,634,Kaposi sarcoma,1,6,1,55,6,0.22,0.27,0.02
26,C60,634,Penis,1,2,0,18,2,0.27,0.09,0.06
27,C61,634,Prostate,1,111,78,158,111,11.0,5.0,1.5
28,C62,634,Testis,1,19,5,66,19,0.45,0.85,0.03
29,C64,634,Kidney,1,27,9,83,27,1.3,1.2,0.17
30,C67,634,Bladder,1,49,30,81,49,5.2,2.2,0.57
31,C70-72,634," Brain, central nervous system",1,34,18,66,34,1.9,1.5,0.23
32,C73,634,Thyroid,1,40,14,114,40,1.6,1.8,0.16
33,C81,634,Hodgkin lymphoma,1,41,21,82,41,1.5,1.8,0.13
34,C82-86+C88,634,Non-Hodgkin lymphoma,1,73,47,114,73,4.1,3.3,0.40
35,C90,634,Multiple myeloma,1,19,4,95,19,1.0,0.85,0.15
36,C91-95,634,Leukaemia,1,82,54,125,82,4.7,3.7,0.49
