Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,498,All cancers,1,7985,7694,8287,7985,295.3,416.0,31.5
1,C00-06,498,"Lip, oral cavity",1,246,184,329,246,9.1,12.8,1.1
2,C07-08,498,Salivary glands,1,12,5,28,12,0.44,0.63,0.05
3,C09-10,498,Oropharynx,1,199,147,270,199,7.3,10.4,0.91
4,C11,498,Nasopharynx,1,31,18,53,31,1.2,1.6,0.13
5,C12-13,498,Hypopharynx,1,113,82,156,113,4.2,5.9,0.53
6,C15,498,Oesophagus,1,124,88,174,124,4.6,6.5,0.58
7,C16,498,Stomach,1,404,324,504,404,14.6,21.1,1.9
41,C18-C21,498,Colorectum,1,1087,-,-,1087,39.2,56.6,5.1
11,C22,498,Liver and intrahepatic bile ducts,1,450,366,554,450,16.7,23.5,2.1
12,C23,498,Gallbladder,1,5,1,18,5,0.17,0.26,0.03
13,C25,498,Pancreas,1,286,230,355,286,10.5,14.9,1.3
14,C32,498,Larynx,1,330,254,429,330,12.2,17.2,1.5
15,C33-34,498,"Trachea, bronchus and lung",1,1178,1047,1326,1178,42.8,61.4,5.6
16,C43,498,Melanoma of skin,1,136,90,206,136,5.3,7.1,0.55
17,C44,498,Non-melanoma skin cancer,1,656,398,1082,656,23.5,34.2,3.3
18,C45,498,Mesothelioma,1,1,0,5,1,0.03,0.05,0.01
19,C46,498,Kaposi sarcoma,1,4,1,12,4,0.14,0.21,0.02
26,C60,498,Penis,1,17,8,38,17,0.62,0.89,0.08
27,C61,498,Prostate,1,985,808,1200,985,34.6,51.3,4.9
28,C62,498,Testis,1,41,16,104,41,1.9,2.1,0.14
29,C64,498,Kidney,1,221,150,325,221,8.5,11.5,0.98
30,C67,498,Bladder,1,420,318,554,420,15.2,21.9,2.0
31,C70-72,498," Brain, central nervous system",1,178,128,247,178,7.4,9.3,0.78
32,C73,498,Thyroid,1,115,51,257,115,4.7,6.0,0.42
33,C81,498,Hodgkin lymphoma,1,34,17,68,34,1.5,1.8,0.14
34,C82-86+C88,498,Non-Hodgkin lymphoma,1,171,116,252,171,7.3,8.9,0.71
35,C90,498,Multiple myeloma,1,41,24,69,41,1.5,2.1,0.19
36,C91-95,498,Leukaemia,1,144,98,211,144,6.7,7.5,0.65
