Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,643,All cancers,2,334064,332584,335550,334064,230.8,427.1,23.3
1,C00-06,643,"Lip, oral cavity",2,3133,2965,3310,3133,2.0,4.0,0.23
2,C07-08,643,Salivary glands,2,712,642,790,712,0.50,0.91,0.05
3,C09-10,643,Oropharynx,2,767,674,873,767,0.60,0.98,0.07
4,C11,643,Nasopharynx,2,159,119,212,159,0.13,0.20,0.01
5,C12-13,643,Hypopharynx,2,339,280,411,339,0.26,0.43,0.03
6,C15,643,Oesophagus,2,2238,2136,2345,2238,1.3,2.9,0.15
7,C16,643,Stomach,2,17568,17285,17856,17568,9.8,22.5,1.2
41,C18-C21,643,Colorectum,2,44454,-,-,44454,25.1,56.8,3.1
11,C22,643,Liver and intrahepatic bile ducts,2,4828,4614,5052,4828,2.6,6.2,0.30
12,C23,643,Gallbladder,2,1518,1400,1646,1518,0.76,1.9,0.09
13,C25,643,Pancreas,2,11281,10837,11744,11281,6.2,14.4,0.78
14,C32,643,Larynx,2,638,550,740,638,0.45,0.82,0.05
15,C33-34,643,"Trachea, bronchus and lung",2,14284,14041,14531,14284,8.6,18.3,1.1
16,C43,643,Melanoma of skin,2,7680,7430,7939,7680,5.5,9.8,0.61
17,C44,643,Non-melanoma skin cancer,2,12214,11140,13392,12214,6.5,15.6,0.80
18,C45,643,Mesothelioma,2,909,742,1114,909,0.51,1.2,0.06
19,C46,643,Kaposi sarcoma,2,170,35,828,170,0.12,0.22,0.01
20,C50,643,Breast,2,78839,77641,80055,78839,57.7,100.8,6.4
21,C51,643,Vulva,2,2104,2007,2206,2104,1.1,2.7,0.14
22,C52,643,Vagina,2,533,485,585,533,0.35,0.68,0.04
23,C53,643,Cervix uteri,2,18369,17930,18819,18369,17.6,23.5,1.7
24,C54,643,Corpus uteri,2,29852,29230,30487,29852,20.6,38.2,2.6
25,C56,643,Ovary,2,14606,14214,15009,14606,11.5,18.7,1.3
29,C64,643,Kidney,2,12227,11745,12729,12227,8.2,15.6,1.0
30,C67,643,Bladder,2,4685,4448,4934,4685,2.6,6.0,0.32
31,C70-72,643," Brain, central nervous system",2,5533,5281,5797,5533,4.6,7.1,0.46
32,C73,643,Thyroid,2,13405,12964,13861,13405,12.2,17.1,1.2
33,C81,643,Hodgkin lymphoma,2,1567,1447,1697,1567,2.0,2.0,0.16
34,C82-86+C88,643,Non-Hodgkin lymphoma,2,6442,6202,6692,6442,4.6,8.2,0.52
35,C90,643,Multiple myeloma,2,2739,2545,2948,2739,1.8,3.5,0.23
36,C91-95,643,Leukaemia,2,7191,6942,7449,7191,5.8,9.2,0.57
