Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,643,All cancers,1,301496,300094,302905,301496,288.5,446.0,31.0
1,C00-06,643,"Lip, oral cavity",1,6596,6350,6852,6596,6.5,9.8,0.80
2,C07-08,643,Salivary glands,1,709,639,787,709,0.71,1.1,0.08
3,C09-10,643,Oropharynx,1,3670,3471,3880,3670,3.7,5.4,0.45
4,C11,643,Nasopharynx,1,422,360,494,422,0.46,0.62,0.05
5,C12-13,643,Hypopharynx,1,2470,2318,2632,2470,2.4,3.7,0.31
6,C15,643,Oesophagus,1,7107,6812,7415,7107,6.8,10.5,0.89
7,C16,643,Stomach,1,21315,20789,21854,21315,19.8,31.5,2.6
41,C18-C21,643,Colorectum,1,39239,-,-,39239,36.5,58.1,4.7
11,C22,643,Liver and intrahepatic bile ducts,1,6920,6688,7160,6920,6.6,10.2,0.82
12,C23,643,Gallbladder,1,619,551,695,619,0.56,0.92,0.07
13,C25,643,Pancreas,1,10561,10189,10947,10561,10.0,15.6,1.3
14,C32,643,Larynx,1,6534,6300,6777,6534,6.3,9.7,0.83
15,C33-34,643,"Trachea, bronchus and lung",1,56078,55062,57113,56078,52.4,83.0,6.9
16,C43,643,Melanoma of skin,1,5223,5017,5437,5223,5.2,7.7,0.61
17,C44,643,Non-melanoma skin cancer,1,9071,8351,9853,9071,8.3,13.4,1.0
18,C45,643,Mesothelioma,1,875,772,992,875,0.86,1.3,0.11
19,C46,643,Kaposi sarcoma,1,292,129,663,292,0.28,0.43,0.03
26,C60,643,Penis,1,785,689,895,785,0.76,1.2,0.09
27,C61,643,Prostate,1,52712,51314,54148,52712,47.4,78.0,6.5
28,C62,643,Testis,1,1633,1517,1758,1633,2.1,2.4,0.17
29,C64,643,Kidney,1,16882,16440,17335,16882,16.8,25.0,2.0
30,C67,643,Bladder,1,14667,14287,15057,14667,13.6,21.7,1.8
31,C70-72,643," Brain, central nervous system",1,5359,5163,5563,5359,6.1,7.9,0.62
32,C73,643,Thyroid,1,2740,2577,2913,2740,3.1,4.1,0.32
33,C81,643,Hodgkin lymphoma,1,1448,1348,1556,1448,2.0,2.1,0.16
34,C82-86+C88,643,Non-Hodgkin lymphoma,1,5628,5407,5858,5628,6.0,8.3,0.66
35,C90,643,Multiple myeloma,1,2133,1991,2285,2133,2.0,3.2,0.27
36,C91-95,643,Leukaemia,1,7304,7017,7603,7304,8.3,10.8,0.85
