Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,702,All cancers,2,11908,11683,12138,11908,231.0,420.4,22.1
1,C00-06,702,"Lip, oral cavity",2,86,58,127,86,1.7,3.0,0.19
2,C07-08,702,Salivary glands,2,28,14,55,28,0.59,0.99,0.06
3,C09-10,702,Oropharynx,2,12,4,34,12,0.21,0.42,0.02
4,C11,702,Nasopharynx,2,123,88,171,123,2.7,4.3,0.29
5,C12-13,702,Hypopharynx,2,4,0,32,4,0.07,0.14,0.01
6,C15,702,Oesophagus,2,31,16,59,31,0.48,1.1,0.05
7,C16,702,Stomach,2,369,306,445,369,6.0,13.0,0.63
41,C18-C21,702,Colorectum,2,1679,-,-,1679,28.3,59.3,3.1
11,C22,702,Liver and intrahepatic bile ducts,2,355,291,433,355,5.7,12.5,0.63
12,C23,702,Gallbladder,2,101,71,145,101,1.6,3.6,0.19
13,C25,702,Pancreas,2,384,320,461,384,6.3,13.6,0.73
14,C32,702,Larynx,2,11,4,33,11,0.17,0.39,0.02
15,C33-34,702,"Trachea, bronchus and lung",2,959,853,1078,959,15.9,33.9,1.8
16,C43,702,Melanoma of skin,2,19,8,43,19,0.39,0.67,0.04
17,C44,702,Non-melanoma skin cancer,2,177,136,231,177,2.8,6.3,0.27
18,C45,702,Mesothelioma,2,9,2,43,9,0.15,0.32,0.02
19,C46,702,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,702,Breast,2,3569,3356,3796,3569,72.6,126.0,7.8
21,C51,702,Vulva,2,38,22,65,38,0.63,1.3,0.07
22,C52,702,Vagina,2,22,10,47,22,0.38,0.78,0.05
23,C53,702,Cervix uteri,2,353,291,428,353,7.4,12.5,0.78
24,C54,702,Corpus uteri,2,859,758,973,859,17.6,30.3,2.0
25,C56,702,Ovary,2,479,406,565,479,10.3,16.9,1.1
29,C64,702,Kidney,2,209,163,267,209,4.0,7.4,0.46
30,C67,702,Bladder,2,117,84,163,117,1.9,4.1,0.21
31,C70-72,702," Brain, central nervous system",2,93,64,136,93,2.7,3.3,0.23
32,C73,702,Thyroid,2,453,382,537,453,10.7,16.0,1.1
33,C81,702,Hodgkin lymphoma,2,25,12,51,25,1.1,0.88,0.07
34,C82-86+C88,702,Non-Hodgkin lymphoma,2,449,380,530,449,9.0,15.9,0.98
35,C90,702,Multiple myeloma,2,112,80,158,112,1.9,4.0,0.23
36,C91-95,702,Leukaemia,2,280,225,348,280,7.7,9.9,0.65
