Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,703,All cancers,1,16698,16234,17175,16698,346.8,628.0,34.8
1,C00-06,703,"Lip, oral cavity",1,486,323,731,486,11.1,18.3,1.4
2,C07-08,703,Salivary glands,1,27,15,49,27,0.59,1.0,0.07
3,C09-10,703,Oropharynx,1,394,287,540,394,9.3,14.8,1.1
4,C11,703,Nasopharynx,1,11,6,20,11,0.25,0.41,0.03
5,C12-13,703,Hypopharynx,1,249,168,369,249,5.7,9.4,0.69
6,C15,703,Oesophagus,1,271,196,374,271,6.0,10.2,0.74
7,C16,703,Stomach,1,469,378,582,469,9.4,17.6,1.1
41,C18-C21,703,Colorectum,1,2483,-,-,2483,49.6,93.4,6.0
11,C22,703,Liver and intrahepatic bile ducts,1,342,260,450,342,6.8,12.9,0.87
12,C23,703,Gallbladder,1,42,29,62,42,0.80,1.6,0.09
13,C25,703,Pancreas,1,519,421,640,519,10.8,19.5,1.3
14,C32,703,Larynx,1,272,188,393,272,6.0,10.2,0.77
15,C33-34,703,"Trachea, bronchus and lung",1,1840,1615,2096,1840,36.5,69.2,4.6
16,C43,703,Melanoma of skin,1,597,390,915,597,12.9,22.5,1.5
17,C44,703,Non-melanoma skin cancer,1,742,490,1124,742,14.0,27.9,1.3
18,C45,703,Mesothelioma,1,13,6,29,13,0.26,0.49,0.03
19,C46,703,Kaposi sarcoma,1,3,1,7,3,0.06,0.11,0.01
26,C60,703,Penis,1,46,23,91,46,0.98,1.7,0.12
27,C61,703,Prostate,1,3606,2875,4523,3606,69.2,135.6,9.4
28,C62,703,Testis,1,386,230,647,386,13.2,14.5,1.0
29,C64,703,Kidney,1,766,604,971,766,16.6,28.8,2.0
30,C67,703,Bladder,1,1097,845,1424,1097,20.9,41.3,2.7
31,C70-72,703," Brain, central nervous system",1,251,190,332,251,6.4,9.4,0.65
32,C73,703,Thyroid,1,77,35,169,77,1.8,2.9,0.22
33,C81,703,Hodgkin lymphoma,1,92,54,158,92,3.0,3.5,0.25
34,C82-86+C88,703,Non-Hodgkin lymphoma,1,343,284,414,343,7.5,12.9,0.90
35,C90,703,Multiple myeloma,1,160,106,242,160,3.3,6.0,0.41
36,C91-95,703,Leukaemia,1,384,252,584,384,8.9,14.4,0.96
