Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,705,All cancers,2,6564,6345,6790,6564,275.5,629.6,26.8
1,C00-06,705,"Lip, oral cavity",2,52,39,70,52,2.2,5.0,0.26
2,C07-08,705,Salivary glands,2,7,3,15,7,0.36,0.67,0.03
3,C09-10,705,Oropharynx,2,15,8,27,15,0.72,1.4,0.09
4,C11,705,Nasopharynx,2,0,0,0,0,0.00,0.00,0.00
5,C12-13,705,Hypopharynx,2,3,1,8,3,0.09,0.29,0.02
6,C15,705,Oesophagus,2,28,17,46,28,0.85,2.7,0.10
7,C16,705,Stomach,2,171,132,221,171,5.7,16.4,0.63
41,C18-C21,705,Colorectum,2,624,-,-,624,21.8,59.9,2.6
11,C22,705,Liver and intrahepatic bile ducts,2,137,106,177,137,3.8,13.1,0.42
12,C23,705,Gallbladder,2,49,35,68,49,1.5,4.7,0.17
13,C25,705,Pancreas,2,202,166,246,202,6.3,19.4,0.75
14,C32,705,Larynx,2,13,7,23,13,0.54,1.3,0.08
15,C33-34,705,"Trachea, bronchus and lung",2,687,594,794,687,25.7,65.9,3.4
16,C43,705,Melanoma of skin,2,306,258,363,306,16.7,29.4,1.7
17,C44,705,Non-melanoma skin cancer,2,308,248,382,308,6.7,29.5,0.57
18,C45,705,Mesothelioma,2,16,9,29,16,0.45,1.5,0.06
19,C46,705,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,705,Breast,2,1660,1532,1799,1660,82.3,159.2,8.9
21,C51,705,Vulva,2,61,46,80,61,1.8,5.9,0.20
22,C52,705,Vagina,2,12,6,22,12,0.51,1.2,0.05
23,C53,705,Cervix uteri,2,119,94,150,119,7.2,11.4,0.72
24,C54,705,Corpus uteri,2,394,339,458,394,16.9,37.8,2.1
25,C56,705,Ovary,2,195,164,232,195,8.1,18.7,0.89
29,C64,705,Kidney,2,116,88,154,116,4.6,11.1,0.54
30,C67,705,Bladder,2,180,144,225,180,6.0,17.3,0.73
31,C70-72,705," Brain, central nervous system",2,92,70,120,92,4.2,8.8,0.41
32,C73,705,Thyroid,2,207,162,264,207,14.4,19.9,1.4
33,C81,705,Hodgkin lymphoma,2,25,17,37,25,2.5,2.4,0.19
34,C82-86+C88,705,Non-Hodgkin lymphoma,2,222,184,268,222,8.8,21.3,1.0
35,C90,705,Multiple myeloma,2,87,66,114,87,2.5,8.4,0.26
36,C91-95,705,Leukaemia,2,192,158,233,192,7.4,18.4,0.66
