Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,705,All cancers,1,7838,7603,8080,7838,343.7,756.9,33.9
1,C00-06,705,"Lip, oral cavity",1,108,79,147,108,5.3,10.4,0.64
2,C07-08,705,Salivary glands,1,11,6,22,11,0.57,1.1,0.07
3,C09-10,705,Oropharynx,1,84,66,108,84,4.4,8.1,0.55
4,C11,705,Nasopharynx,1,3,1,7,3,0.15,0.29,0.02
5,C12-13,705,Hypopharynx,1,56,42,75,56,2.7,5.4,0.35
6,C15,705,Oesophagus,1,82,60,112,82,3.6,7.9,0.43
7,C16,705,Stomach,1,278,237,326,278,11.5,26.9,1.4
41,C18-C21,705,Colorectum,1,956,-,-,956,40.3,92.3,4.8
11,C22,705,Liver and intrahepatic bile ducts,1,237,195,288,237,9.4,22.9,1.1
12,C23,705,Gallbladder,1,27,17,43,27,0.96,2.6,0.11
13,C25,705,Pancreas,1,256,213,308,256,10.5,24.7,1.3
14,C32,705,Larynx,1,110,78,154,110,5.2,10.6,0.66
15,C33-34,705,"Trachea, bronchus and lung",1,1042,948,1146,1042,43.8,100.6,5.7
16,C43,705,Melanoma of skin,1,362,301,435,362,18.0,35.0,2.0
17,C44,705,Non-melanoma skin cancer,1,375,316,445,375,12.4,36.2,1.1
18,C45,705,Mesothelioma,1,40,28,58,40,1.5,3.9,0.19
19,C46,705,Kaposi sarcoma,1,1,0,5,1,0.04,0.10,0.01
26,C60,705,Penis,1,14,8,24,14,0.55,1.4,0.06
27,C61,705,Prostate,1,1765,1617,1926,1765,72.6,170.5,9.6
28,C62,705,Testis,1,126,95,168,126,13.0,12.2,0.96
29,C64,705,Kidney,1,271,227,324,271,12.6,26.2,1.5
30,C67,705,Bladder,1,490,429,559,490,19.4,47.3,2.3
31,C70-72,705," Brain, central nervous system",1,135,104,174,135,7.5,13.0,0.76
32,C73,705,Thyroid,1,48,34,67,48,2.9,4.6,0.31
33,C81,705,Hodgkin lymphoma,1,29,20,43,29,2.5,2.8,0.20
34,C82-86+C88,705,Non-Hodgkin lymphoma,1,256,210,311,256,12.0,24.7,1.3
35,C90,705,Multiple myeloma,1,84,61,116,84,3.5,8.1,0.40
36,C91-95,705,Leukaemia,1,211,171,261,211,9.8,20.4,0.92
