Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,706,All cancers,1,3998,3839,4164,3998,95.4,47.6,9.7
1,C00-06,706,"Lip, oral cavity",1,97,74,126,97,2.4,1.2,0.26
2,C07-08,706,Salivary glands,1,21,8,56,21,0.54,0.25,0.06
3,C09-10,706,Oropharynx,1,16,7,34,16,0.41,0.19,0.05
4,C11,706,Nasopharynx,1,107,79,145,107,2.2,1.3,0.22
5,C12-13,706,Hypopharynx,1,11,2,51,11,0.26,0.13,0.03
6,C15,706,Oesophagus,1,170,116,250,170,4.7,2.0,0.52
7,C16,706,Stomach,1,184,158,214,184,4.9,2.2,0.53
41,C18-C21,706,Colorectum,1,380,-,-,380,9.7,4.5,1.1
11,C22,706,Liver and intrahepatic bile ducts,1,169,115,249,169,4.3,2.0,0.50
12,C23,706,Gallbladder,1,21,11,41,21,0.59,0.25,0.07
13,C25,706,Pancreas,1,70,56,87,70,2.0,0.83,0.22
14,C32,706,Larynx,1,78,58,106,78,2.1,0.93,0.26
15,C33-34,706,"Trachea, bronchus and lung",1,145,105,200,145,3.9,1.7,0.47
16,C43,706,Melanoma of skin,1,23,11,47,23,0.61,0.27,0.07
17,C44,706,Non-melanoma skin cancer,1,120,80,180,120,2.9,1.4,0.30
18,C45,706,Mesothelioma,1,1,0,13,1,0.03,0.01,0.00
19,C46,706,Kaposi sarcoma,1,50,8,331,50,0.99,0.60,0.10
26,C60,706,Penis,1,3,2,6,3,0.07,0.04,0.01
27,C61,706,Prostate,1,623,532,729,623,18.5,7.4,1.9
28,C62,706,Testis,1,23,3,177,23,0.37,0.27,0.03
29,C64,706,Kidney,1,118,60,234,118,2.2,1.4,0.24
30,C67,706,Bladder,1,115,79,167,115,3.2,1.4,0.35
31,C70-72,706," Brain, central nervous system",1,76,58,100,76,1.5,0.91,0.16
32,C73,706,Thyroid,1,57,8,399,57,1.3,0.68,0.15
33,C81,706,Hodgkin lymphoma,1,68,49,94,68,0.86,0.81,0.07
34,C82-86+C88,706,Non-Hodgkin lymphoma,1,264,229,305,264,4.8,3.1,0.47
35,C90,706,Multiple myeloma,1,48,24,94,48,1.3,0.57,0.16
36,C91-95,706,Leukaemia,1,299,253,354,299,4.9,3.6,0.46
