Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,728,All cancers,1,2857,2720,3001,2857,89.8,49.1,9.4
1,C00-06,728,"Lip, oral cavity",1,63,5,874,63,1.9,1.1,0.22
2,C07-08,728,Salivary glands,1,21,2,291,21,0.70,0.36,0.07
3,C09-10,728,Oropharynx,1,13,1,180,13,0.41,0.22,0.05
4,C11,728,Nasopharynx,1,71,5,985,71,2.0,1.2,0.21
5,C12-13,728,Hypopharynx,1,8,2,42,8,0.28,0.14,0.04
6,C15,728,Oesophagus,1,184,13,2553,184,6.4,3.2,0.72
7,C16,728,Stomach,1,125,65,242,125,4.2,2.2,0.46
41,C18-C21,728,Colorectum,1,199,-,-,199,6.2,3.4,0.72
11,C22,728,Liver and intrahepatic bile ducts,1,220,104,464,220,6.6,3.8,0.72
12,C23,728,Gallbladder,1,9,6,14,9,0.35,0.15,0.04
13,C25,728,Pancreas,1,55,12,246,55,1.9,0.95,0.21
14,C32,728,Larynx,1,53,4,735,53,1.8,0.91,0.22
15,C33-34,728,"Trachea, bronchus and lung",1,72,22,231,72,2.4,1.2,0.30
16,C43,728,Melanoma of skin,1,27,8,95,27,1.0,0.46,0.11
17,C44,728,Non-melanoma skin cancer,1,63,5,874,63,2.0,1.1,0.21
18,C45,728,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,728,Kaposi sarcoma,1,112,8,1554,112,3.0,1.9,0.30
26,C60,728,Penis,1,25,2,347,25,0.82,0.43,0.09
27,C61,728,Prostate,1,591,474,737,591,22.0,10.2,2.4
28,C62,728,Testis,1,16,1,222,16,0.39,0.28,0.04
29,C64,728,Kidney,1,65,7,648,65,1.6,1.1,0.17
30,C67,728,Bladder,1,73,5,1013,73,2.5,1.3,0.27
31,C70-72,728," Brain, central nervous system",1,49,4,680,49,1.2,0.84,0.12
32,C73,728,Thyroid,1,27,2,375,27,0.87,0.46,0.10
33,C81,728,Hodgkin lymphoma,1,32,2,444,32,0.61,0.55,0.05
34,C82-86+C88,728,Non-Hodgkin lymphoma,1,164,17,1579,164,4.3,2.8,0.44
35,C90,728,Multiple myeloma,1,38,14,100,38,1.3,0.65,0.15
36,C91-95,728,Leukaemia,1,55,40,75,55,1.3,0.95,0.13
