Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,724,All cancers,1,158410,156837,159998,158410,319.9,689.7,32.7
1,C00-06,724,"Lip, oral cavity",1,2572,2193,3016,2572,5.3,11.2,0.65
2,C07-08,724,Salivary glands,1,285,214,380,285,0.50,1.2,0.06
3,C09-10,724,Oropharynx,1,883,753,1035,883,2.0,3.8,0.26
4,C11,724,Nasopharynx,1,325,247,427,325,0.85,1.4,0.09
5,C12-13,724,Hypopharynx,1,599,447,803,599,1.3,2.6,0.17
6,C15,724,Oesophagus,1,1818,1627,2031,1818,3.7,7.9,0.45
7,C16,724,Stomach,1,4263,3947,4605,4263,7.8,18.6,0.92
41,C18-C21,724,Colorectum,1,23892,-,-,23892,44.7,104.0,5.5
11,C22,724,Liver and intrahepatic bile ducts,1,4520,4192,4874,4520,9.5,19.7,1.2
12,C23,724,Gallbladder,1,269,191,378,269,0.43,1.2,0.05
13,C25,724,Pancreas,1,4356,4104,4623,4356,8.3,19.0,1.0
14,C32,724,Larynx,1,2651,2372,2963,2651,5.6,11.5,0.73
15,C33-34,724,"Trachea, bronchus and lung",1,21654,20814,22528,21654,41.4,94.3,5.2
16,C43,724,Melanoma of skin,1,3002,2566,3512,3002,7.4,13.1,0.79
17,C44,724,Non-melanoma skin cancer,1,8556,7048,10386,8556,12.9,37.3,1.4
18,C45,724,Mesothelioma,1,462,372,573,462,0.88,2.0,0.12
19,C46,724,Kaposi sarcoma,1,250,145,430,250,0.68,1.1,0.07
26,C60,724,Penis,1,482,340,682,482,0.85,2.1,0.10
27,C61,724,Prostate,1,32967,31261,34766,32967,66.5,143.5,9.0
28,C62,724,Testis,1,1510,1054,2163,1510,7.0,6.6,0.52
29,C64,724,Kidney,1,5959,5481,6479,5959,12.9,25.9,1.6
30,C67,724,Bladder,1,17011,15924,18173,17011,32.4,74.1,4.0
31,C70-72,724," Brain, central nervous system",1,2379,2141,2643,2379,6.3,10.4,0.64
32,C73,724,Thyroid,1,864,607,1231,864,2.8,3.8,0.26
33,C81,724,Hodgkin lymphoma,1,665,451,981,665,2.7,2.9,0.21
34,C82-86+C88,724,Non-Hodgkin lymphoma,1,4870,4408,5380,4870,11.3,21.2,1.3
35,C90,724,Multiple myeloma,1,1806,1594,2046,1806,3.2,7.9,0.38
36,C91-95,724,Leukaemia,1,3430,3152,3732,3430,8.2,14.9,0.78
