Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,963,All cancers,2,503207,500216,506216,503207,139.6,87.3,14.2
1,C00-06,963,"Lip, oral cavity",2,4728,4441,5033,4728,1.4,0.82,0.16
2,C07-08,963,Salivary glands,2,2031,1853,2226,2031,0.57,0.35,0.06
3,C09-10,963,Oropharynx,2,608,506,731,608,0.17,0.11,0.02
4,C11,963,Nasopharynx,2,2419,2227,2627,2419,0.62,0.42,0.06
5,C12-13,963,Hypopharynx,2,384,310,475,384,0.12,0.07,0.01
6,C15,963,Oesophagus,2,11784,11347,12237,11784,3.7,2.0,0.44
7,C16,963,Stomach,2,11284,10852,11733,11284,3.5,2.0,0.41
41,C18-C21,963,Colorectum,2,22710,-,-,22710,6.8,3.9,0.77
11,C22,963,Liver and intrahepatic bile ducts,2,16075,15551,16616,16075,4.7,2.8,0.54
12,C23,963,Gallbladder,2,1627,1465,1806,1627,0.51,0.28,0.06
13,C25,963,Pancreas,2,5989,5652,6347,5989,1.9,1.0,0.22
14,C32,963,Larynx,2,1026,894,1178,1026,0.30,0.18,0.03
15,C33-34,963,"Trachea, bronchus and lung",2,9525,9073,9999,9525,3.1,1.7,0.36
16,C43,963,Melanoma of skin,2,3593,3323,3885,3593,1.1,0.62,0.13
17,C44,963,Non-melanoma skin cancer,2,12698,12178,13240,12698,3.7,2.2,0.39
18,C45,963,Mesothelioma,2,189,130,275,189,0.06,0.03,0.01
19,C46,963,Kaposi sarcoma,2,9150,8753,9565,9150,1.9,1.6,0.16
20,C50,963,Breast,2,133576,132039,135130,133576,36.6,23.2,3.9
21,C51,963,Vulva,2,4852,4564,5159,4852,1.3,0.84,0.14
22,C52,963,Vagina,2,1770,1598,1960,1770,0.49,0.31,0.06
23,C53,963,Cervix uteri,2,118013,116587,119457,118013,33.4,20.5,3.7
24,C54,963,Corpus uteri,2,10602,10164,11059,10602,3.4,1.8,0.43
25,C56,963,Ovary,2,18615,18056,19192,18615,5.1,3.2,0.56
29,C64,963,Kidney,2,5723,5413,6050,5723,1.2,0.99,0.11
30,C67,963,Bladder,2,6397,6076,6735,6397,2.0,1.1,0.23
31,C70-72,963," Brain, central nervous system",2,5202,4908,5514,5202,1.3,0.90,0.12
32,C73,963,Thyroid,2,8070,7703,8454,8070,2.2,1.4,0.24
33,C81,963,Hodgkin lymphoma,2,2950,2732,3185,2950,0.69,0.51,0.07
34,C82-86+C88,963,Non-Hodgkin lymphoma,2,16093,15575,16628,16093,3.9,2.8,0.39
35,C90,963,Multiple myeloma,2,3159,2921,3417,3159,1.0,0.55,0.11
36,C91-95,963,Leukaemia,2,10015,9608,10439,10015,2.4,1.7,0.23
