Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,963,All cancers,1,345104,342565,347662,345104,117.5,60.0,12.5
1,C00-06,963,"Lip, oral cavity",1,6419,6078,6779,6419,2.2,1.1,0.26
2,C07-08,963,Salivary glands,1,2144,1956,2350,2144,0.69,0.37,0.07
3,C09-10,963,Oropharynx,1,1981,1789,2194,1981,0.65,0.34,0.08
4,C11,963,Nasopharynx,1,4331,4072,4607,4331,1.2,0.75,0.14
5,C12-13,963,Hypopharynx,1,1030,899,1180,1030,0.38,0.18,0.04
6,C15,963,Oesophagus,1,14950,14447,15471,14950,5.5,2.6,0.63
7,C16,963,Stomach,1,12211,11756,12683,12211,4.4,2.1,0.52
41,C18-C21,963,Colorectum,1,24161,-,-,24161,8.4,4.2,0.97
11,C22,963,Liver and intrahepatic bile ducts,1,25764,25096,26449,25764,8.0,4.5,0.86
12,C23,963,Gallbladder,1,799,692,923,799,0.31,0.14,0.03
13,C25,963,Pancreas,1,6216,5874,6578,6216,2.3,1.1,0.27
14,C32,963,Larynx,1,4702,4412,5011,4702,1.8,0.82,0.22
15,C33-34,963,"Trachea, bronchus and lung",1,14026,13440,14637,14026,5.4,2.4,0.64
16,C43,963,Melanoma of skin,1,2850,2581,3147,2850,1.1,0.50,0.11
17,C44,963,Non-melanoma skin cancer,1,13044,12475,13639,13044,4.6,2.3,0.49
18,C45,963,Mesothelioma,1,436,337,563,436,0.16,0.08,0.02
19,C46,963,Kaposi sarcoma,1,16982,16439,17543,16982,3.9,3.0,0.36
26,C60,963,Penis,1,2028,1841,2234,2028,0.67,0.35,0.07
27,C61,963,Prostate,1,86364,85077,87671,86364,36.8,15.0,4.4
28,C62,963,Testis,1,2340,2146,2551,2340,0.58,0.41,0.06
29,C64,963,Kidney,1,6535,6198,6890,6535,1.7,1.1,0.16
30,C67,963,Bladder,1,9606,9194,10037,9606,3.6,1.7,0.40
31,C70-72,963," Brain, central nervous system",1,4951,4662,5258,4951,1.3,0.86,0.13
32,C73,963,Thyroid,1,2351,2158,2561,2351,0.77,0.41,0.09
33,C81,963,Hodgkin lymphoma,1,4220,3962,4495,4220,0.98,0.73,0.09
34,C82-86+C88,963,Non-Hodgkin lymphoma,1,18176,17614,18756,18176,4.7,3.2,0.46
35,C90,963,Multiple myeloma,1,2992,2757,3247,2992,1.1,0.52,0.12
36,C91-95,963,Leukaemia,1,11210,10780,11657,11210,2.8,2.0,0.28
