Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,729,All cancers,1,11326,11043,11616,11326,80.6,49.3,8.5
1,C00-06,729,"Lip, oral cavity",1,335,260,432,335,2.4,1.5,0.27
2,C07-08,729,Salivary glands,1,62,37,103,62,0.52,0.27,0.05
3,C09-10,729,Oropharynx,1,20,7,57,20,0.14,0.09,0.01
4,C11,729,Nasopharynx,1,326,250,426,326,2.3,1.4,0.24
5,C12-13,729,Hypopharynx,1,42,20,86,42,0.31,0.18,0.04
6,C15,729,Oesophagus,1,423,338,529,423,3.2,1.8,0.40
7,C16,729,Stomach,1,338,264,433,338,2.7,1.5,0.30
41,C18-C21,729,Colorectum,1,840,-,-,840,5.7,3.7,0.60
11,C22,729,Liver and intrahepatic bile ducts,1,803,678,951,803,5.8,3.5,0.67
12,C23,729,Gallbladder,1,60,33,110,60,0.51,0.26,0.05
13,C25,729,Pancreas,1,153,108,218,153,1.3,0.67,0.14
14,C32,729,Larynx,1,270,204,356,270,2.1,1.2,0.25
15,C33-34,729,"Trachea, bronchus and lung",1,407,322,514,407,3.1,1.8,0.34
16,C43,729,Melanoma of skin,1,60,35,104,60,0.50,0.26,0.06
17,C44,729,Non-melanoma skin cancer,1,247,188,325,247,1.9,1.1,0.20
18,C45,729,Mesothelioma,1,1,0,15,1,0.00,0.00,0.00
19,C46,729,Kaposi sarcoma,1,69,41,117,69,0.59,0.30,0.06
26,C60,729,Penis,1,20,7,57,20,0.18,0.09,0.03
27,C61,729,Prostate,1,1404,1240,1589,1404,11.9,6.1,1.4
28,C62,729,Testis,1,108,71,165,108,0.66,0.47,0.06
29,C64,729,Kidney,1,303,233,395,303,2.0,1.3,0.21
30,C67,729,Bladder,1,405,319,513,405,3.0,1.8,0.33
31,C70-72,729," Brain, central nervous system",1,267,199,359,267,1.5,1.2,0.14
32,C73,729,Thyroid,1,192,135,273,192,1.5,0.84,0.15
33,C81,729,Hodgkin lymphoma,1,193,141,264,193,1.0,0.84,0.10
34,C82-86+C88,729,Non-Hodgkin lymphoma,1,1046,908,1205,1046,7.1,4.6,0.73
35,C90,729,Multiple myeloma,1,183,131,255,183,1.4,0.80,0.14
36,C91-95,729,Leukaemia,1,664,559,788,664,4.3,2.9,0.47
