Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,740,All cancers,1,571,510,639,571,195.0,190.5,20.1
1,C00-06,740,"Lip, oral cavity",1,7,1,91,7,2.3,2.3,0.26
2,C07-08,740,Salivary glands,1,0,0,0,0,0.00,0.00,0.00
3,C09-10,740,Oropharynx,1,2,0,29,2,0.69,0.67,0.03
4,C11,740,Nasopharynx,1,6,0,88,6,1.8,2.0,0.19
5,C12-13,740,Hypopharynx,1,0,0,0,0,0.00,0.00,0.00
6,C15,740,Oesophagus,1,3,0,44,3,0.97,1.0,0.10
7,C16,740,Stomach,1,21,5,97,21,6.9,7.0,0.83
41,C18-C21,740,Colorectum,1,56,-,-,56,19.2,18.7,2.6
11,C22,740,Liver and intrahepatic bile ducts,1,26,10,68,26,8.8,8.7,0.90
12,C23,740,Gallbladder,1,2,0,29,2,0.73,0.67,0.11
13,C25,740,Pancreas,1,13,2,68,13,4.4,4.3,0.53
14,C32,740,Larynx,1,6,0,88,6,2.0,2.0,0.13
15,C33-34,740,"Trachea, bronchus and lung",1,73,37,144,73,24.1,24.4,2.5
16,C43,740,Melanoma of skin,1,3,0,44,3,0.98,1.0,0.07
17,C44,740,Non-melanoma skin cancer,1,8,1,118,8,2.6,2.7,0.33
18,C45,740,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,740,Kaposi sarcoma,1,2,0,29,2,0.61,0.67,0.02
26,C60,740,Penis,1,4,0,59,4,1.4,1.3,0.21
27,C61,740,Prostate,1,213,28,1602,213,75.2,71.1,8.9
28,C62,740,Testis,1,5,0,74,5,1.5,1.7,0.13
29,C64,740,Kidney,1,8,1,118,8,2.6,2.7,0.21
30,C67,740,Bladder,1,12,1,177,12,4.5,4.0,0.49
31,C70-72,740," Brain, central nervous system",1,15,4,57,15,4.9,5.0,0.45
32,C73,740,Thyroid,1,0,0,0,0,0.00,0.00,0.00
33,C81,740,Hodgkin lymphoma,1,1,0,15,1,0.34,0.33,0.02
34,C82-86+C88,740,Non-Hodgkin lymphoma,1,21,1,309,21,6.9,7.0,0.66
35,C90,740,Multiple myeloma,1,7,1,91,7,2.3,2.3,0.27
36,C91-95,740,Leukaemia,1,21,1,309,21,7.4,7.0,0.77
