Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,752,All cancers,2,31392,30933,31858,31392,289.1,616.0,27.6
1,C00-06,752,"Lip, oral cavity",2,378,307,465,378,3.1,7.4,0.36
2,C07-08,752,Salivary glands,2,31,23,42,31,0.35,0.61,0.04
3,C09-10,752,Oropharynx,2,55,30,101,55,0.62,1.1,0.08
4,C11,752,Nasopharynx,2,8,4,16,8,0.11,0.16,0.01
5,C12-13,752,Hypopharynx,2,17,9,33,17,0.13,0.33,0.02
6,C15,752,Oesophagus,2,187,143,245,187,1.2,3.7,0.12
7,C16,752,Stomach,2,341,295,395,341,2.7,6.7,0.31
41,C18-C21,752,Colorectum,2,3662,-,-,3662,28.8,71.9,3.3
11,C22,752,Liver and intrahepatic bile ducts,2,346,275,436,346,2.9,6.8,0.35
12,C23,752,Gallbladder,2,185,136,251,185,1.4,3.6,0.18
13,C25,752,Pancreas,2,1273,1107,1464,1273,8.1,25.0,0.83
14,C32,752,Larynx,2,27,18,40,27,0.24,0.53,0.03
15,C33-34,752,"Trachea, bronchus and lung",2,2463,2299,2639,2463,19.1,48.3,2.5
16,C43,752,Melanoma of skin,2,2562,2372,2768,2562,28.4,50.3,3.0
17,C44,752,Non-melanoma skin cancer,2,3256,3006,3526,3256,17.7,63.9,1.7
18,C45,752,Mesothelioma,2,42,28,63,42,0.33,0.82,0.04
19,C46,752,Kaposi sarcoma,2,5,2,13,5,0.03,0.10,0.00
20,C50,752,Breast,2,7452,7041,7887,7452,81.4,146.2,8.9
21,C51,752,Vulva,2,222,170,290,222,1.7,4.4,0.18
22,C52,752,Vagina,2,37,26,53,37,0.33,0.73,0.04
23,C53,752,Cervix uteri,2,561,440,716,561,8.6,11.0,0.77
24,C54,752,Corpus uteri,2,1510,1364,1672,1510,13.1,29.6,1.6
25,C56,752,Ovary,2,723,664,787,723,7.9,14.2,0.92
29,C64,752,Kidney,2,572,488,670,572,5.9,11.2,0.67
30,C67,752,Bladder,2,836,709,986,836,5.8,16.4,0.68
31,C70-72,752," Brain, central nervous system",2,417,358,486,417,5.6,8.2,0.55
32,C73,752,Thyroid,2,699,602,812,699,10.5,13.7,0.99
33,C81,752,Hodgkin lymphoma,2,90,59,137,90,1.6,1.8,0.13
34,C82-86+C88,752,Non-Hodgkin lymphoma,2,955,855,1066,955,8.3,18.7,0.93
35,C90,752,Multiple myeloma,2,357,275,464,357,2.8,7.0,0.35
36,C91-95,752,Leukaemia,2,674,567,802,674,7.2,13.2,0.70
