Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,752,All cancers,1,37869,37374,38371,37869,334.8,739.3,32.8
1,C00-06,752,"Lip, oral cavity",1,438,370,518,438,4.1,8.6,0.50
2,C07-08,752,Salivary glands,1,62,46,83,62,0.62,1.2,0.07
3,C09-10,752,Oropharynx,1,184,135,251,184,2.2,3.6,0.27
4,C11,752,Nasopharynx,1,20,13,32,20,0.27,0.39,0.03
5,C12-13,752,Hypopharynx,1,55,41,74,55,0.49,1.1,0.07
6,C15,752,Oesophagus,1,453,385,533,453,3.6,8.8,0.42
7,C16,752,Stomach,1,530,452,621,530,4.6,10.4,0.55
41,C18-C21,752,Colorectum,1,4037,-,-,4037,33.8,78.8,3.9
11,C22,752,Liver and intrahepatic bile ducts,1,669,559,800,669,6.4,13.1,0.80
12,C23,752,Gallbladder,1,64,48,85,64,0.53,1.3,0.06
13,C25,752,Pancreas,1,1140,1006,1292,1140,10.3,22.3,1.3
14,C32,752,Larynx,1,133,102,173,133,1.2,2.6,0.15
15,C33-34,752,"Trachea, bronchus and lung",1,1978,1844,2122,1978,15.8,38.6,2.0
16,C43,752,Melanoma of skin,1,2697,2520,2886,2697,26.8,52.7,2.9
17,C44,752,Non-melanoma skin cancer,1,4211,3933,4508,4211,25.5,82.2,2.2
18,C45,752,Mesothelioma,1,165,136,200,165,1.2,3.2,0.16
19,C46,752,Kaposi sarcoma,1,14,8,26,14,0.14,0.27,0.01
26,C60,752,Penis,1,143,74,275,143,1.2,2.8,0.14
27,C61,752,Prostate,1,11732,11114,12384,11732,104.3,229.0,13.1
28,C62,752,Testis,1,391,330,463,391,7.5,7.6,0.58
29,C64,752,Kidney,1,1146,1041,1262,1146,12.4,22.4,1.5
30,C67,752,Bladder,1,2554,2371,2752,2554,19.2,49.9,2.2
31,C70-72,752," Brain, central nervous system",1,509,436,594,509,6.7,9.9,0.67
32,C73,752,Thyroid,1,237,185,304,237,3.2,4.6,0.32
33,C81,752,Hodgkin lymphoma,1,114,73,177,114,1.9,2.2,0.16
34,C82-86+C88,752,Non-Hodgkin lymphoma,1,1420,1308,1542,1420,13.2,27.7,1.5
35,C90,752,Multiple myeloma,1,547,471,635,547,4.7,10.7,0.58
36,C91-95,752,Leukaemia,1,962,870,1064,962,10.6,18.8,1.0
