Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,760,All cancers,2,11747,11465,12036,11747,136.9,121.3,13.3
1,C00-06,760,"Lip, oral cavity",2,92,7,1277,92,1.1,0.95,0.13
2,C07-08,760,Salivary glands,2,39,3,541,39,0.47,0.40,0.05
3,C09-10,760,Oropharynx,2,6,0,83,6,0.08,0.06,0.01
4,C11,760,Nasopharynx,2,43,3,597,43,0.46,0.44,0.04
5,C12-13,760,Hypopharynx,2,3,0,42,3,0.03,0.03,0.01
6,C15,760,Oesophagus,2,47,26,85,47,0.55,0.49,0.05
7,C16,760,Stomach,2,282,221,360,282,3.5,2.9,0.33
41,C18-C21,760,Colorectum,2,921,-,-,921,11.4,9.5,1.1
11,C22,760,Liver and intrahepatic bile ducts,2,195,151,251,195,2.4,2.0,0.25
12,C23,760,Gallbladder,2,72,39,132,72,0.96,0.74,0.13
13,C25,760,Pancreas,2,227,173,297,227,2.8,2.3,0.31
14,C32,760,Larynx,2,96,43,216,96,1.2,0.99,0.11
15,C33-34,760,"Trachea, bronchus and lung",2,651,570,744,651,8.2,6.7,0.86
16,C43,760,Melanoma of skin,2,80,9,712,80,0.93,0.83,0.08
17,C44,760,Non-melanoma skin cancer,2,131,9,1818,131,1.6,1.4,0.17
18,C45,760,Mesothelioma,2,4,0,56,4,0.05,0.04,0.00
19,C46,760,Kaposi sarcoma,2,4,0,56,4,0.05,0.04,0.01
20,C50,760,Breast,2,4114,3347,5057,4114,46.2,42.5,5.0
21,C51,760,Vulva,2,45,3,624,45,0.56,0.46,0.07
22,C52,760,Vagina,2,14,1,194,14,0.17,0.14,0.02
23,C53,760,Cervix uteri,2,206,108,393,206,2.5,2.1,0.30
24,C54,760,Corpus uteri,2,704,275,1804,704,8.2,7.3,0.94
25,C56,760,Ovary,2,462,321,665,462,5.1,4.8,0.53
29,C64,760,Kidney,2,157,55,444,157,1.9,1.6,0.17
30,C67,760,Bladder,2,130,42,404,130,1.5,1.3,0.11
31,C70-72,760," Brain, central nervous system",2,395,297,526,395,4.6,4.1,0.45
32,C73,760,Thyroid,2,565,41,7840,565,5.7,5.8,0.50
33,C81,760,Hodgkin lymphoma,2,161,28,916,161,1.9,1.7,0.19
34,C82-86+C88,760,Non-Hodgkin lymphoma,2,427,269,677,427,5.1,4.4,0.44
35,C90,760,Multiple myeloma,2,151,11,2095,151,1.9,1.6,0.25
36,C91-95,760,Leukaemia,2,644,523,793,644,7.6,6.7,0.75
