Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,762,All cancers,1,2949,2807,3099,2949,92.7,58.8,9.8
1,C00-06,762,"Lip, oral cavity",1,43,3,633,43,1.5,0.86,0.17
2,C07-08,762,Salivary glands,1,2,0,29,2,0.09,0.04,0.02
3,C09-10,762,Oropharynx,1,14,1,206,14,0.54,0.28,0.06
4,C11,762,Nasopharynx,1,8,1,118,8,0.20,0.16,0.02
5,C12-13,762,Hypopharynx,1,7,0,103,7,0.26,0.14,0.02
6,C15,762,Oesophagus,1,74,47,117,74,2.9,1.5,0.28
7,C16,762,Stomach,1,701,583,842,701,24.2,14.0,2.8
41,C18-C21,762,Colorectum,1,230,-,-,230,7.7,4.6,0.80
11,C22,762,Liver and intrahepatic bile ducts,1,149,107,207,149,5.2,3.0,0.56
12,C23,762,Gallbladder,1,7,0,103,7,0.30,0.14,0.03
13,C25,762,Pancreas,1,39,21,72,39,1.4,0.78,0.11
14,C32,762,Larynx,1,11,3,41,11,0.38,0.22,0.05
15,C33-34,762,"Trachea, bronchus and lung",1,219,159,301,219,7.1,4.4,0.86
16,C43,762,Melanoma of skin,1,16,4,59,16,0.60,0.32,0.06
17,C44,762,Non-melanoma skin cancer,1,69,5,1015,69,2.6,1.4,0.25
18,C45,762,Mesothelioma,1,2,0,29,2,0.04,0.04,0.00
19,C46,762,Kaposi sarcoma,1,3,0,44,3,0.08,0.06,0.01
26,C60,762,Penis,1,0,0,0,0,0.00,0.00,0.00
27,C61,762,Prostate,1,108,36,323,108,3.9,2.2,0.51
28,C62,762,Testis,1,22,1,324,22,0.43,0.44,0.03
29,C64,762,Kidney,1,98,41,233,98,2.8,2.0,0.31
30,C67,762,Bladder,1,52,14,197,52,1.6,1.0,0.19
31,C70-72,762," Brain, central nervous system",1,227,165,312,227,5.8,4.5,0.58
32,C73,762,Thyroid,1,5,0,74,5,0.13,0.10,0.02
33,C81,762,Hodgkin lymphoma,1,16,1,235,16,0.36,0.32,0.04
34,C82-86+C88,762,Non-Hodgkin lymphoma,1,116,66,204,116,3.1,2.3,0.34
35,C90,762,Multiple myeloma,1,10,2,41,10,0.39,0.20,0.04
36,C91-95,762,Leukaemia,1,85,42,173,85,2.0,1.7,0.18
