Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,834,All cancers,1,18215,17912,18523,18215,132.8,57.6,13.7
1,C00-06,834,"Lip, oral cavity",1,426,237,766,426,3.8,1.4,0.38
2,C07-08,834,Salivary glands,1,136,72,257,136,0.95,0.43,0.10
3,C09-10,834,Oropharynx,1,73,34,158,73,0.48,0.23,0.06
4,C11,834,Nasopharynx,1,189,110,324,189,1.2,0.60,0.12
5,C12-13,834,Hypopharynx,1,168,51,552,168,1.5,0.53,0.14
6,C15,834,Oesophagus,1,2479,2164,2840,2479,18.3,7.8,2.1
7,C16,834,Stomach,1,802,620,1038,802,6.1,2.5,0.77
41,C18-C21,834,Colorectum,1,1031,-,-,1031,6.9,3.3,0.73
11,C22,834,Liver and intrahepatic bile ducts,1,690,584,816,690,4.2,2.2,0.45
12,C23,834,Gallbladder,1,77,11,556,77,0.61,0.24,0.06
13,C25,834,Pancreas,1,319,196,520,319,2.5,1.0,0.28
14,C32,834,Larynx,1,223,152,327,223,2.0,0.70,0.22
15,C33-34,834,"Trachea, bronchus and lung",1,408,271,615,408,2.8,1.3,0.33
16,C43,834,Melanoma of skin,1,101,57,178,101,0.72,0.32,0.08
17,C44,834,Non-melanoma skin cancer,1,325,226,466,325,1.9,1.0,0.20
18,C45,834,Mesothelioma,1,21,5,96,21,0.12,0.07,0.02
19,C46,834,Kaposi sarcoma,1,920,744,1138,920,5.1,2.9,0.52
26,C60,834,Penis,1,138,78,245,138,1.2,0.44,0.13
27,C61,834,Prostate,1,4805,4335,5326,4805,45.4,15.2,5.0
28,C62,834,Testis,1,50,24,105,50,0.29,0.16,0.04
29,C64,834,Kidney,1,361,256,510,361,1.5,1.1,0.14
30,C67,834,Bladder,1,620,454,847,620,4.9,2.0,0.58
31,C70-72,834," Brain, central nervous system",1,113,44,291,113,0.53,0.36,0.05
32,C73,834,Thyroid,1,127,69,234,127,1.0,0.40,0.11
33,C81,834,Hodgkin lymphoma,1,191,122,299,191,1.1,0.60,0.09
34,C82-86+C88,834,Non-Hodgkin lymphoma,1,654,528,810,654,3.2,2.1,0.33
35,C90,834,Multiple myeloma,1,95,23,387,95,0.70,0.30,0.09
36,C91-95,834,Leukaemia,1,410,283,593,410,2.0,1.3,0.20
