Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,764,All cancers,2,93208,92512,93909,93208,150.6,258.8,15.4
1,C00-06,764,"Lip, oral cavity",2,2062,1867,2278,2062,2.9,5.7,0.32
2,C07-08,764,Salivary glands,2,264,170,411,264,0.47,0.73,0.05
3,C09-10,764,Oropharynx,2,179,104,307,179,0.29,0.50,0.03
4,C11,764,Nasopharynx,2,663,542,811,663,1.2,1.8,0.12
5,C12-13,764,Hypopharynx,2,83,38,184,83,0.12,0.23,0.01
6,C15,764,Oesophagus,2,587,435,791,587,0.79,1.6,0.09
7,C16,764,Stomach,2,1870,1684,2077,1870,2.9,5.2,0.32
41,C18-C21,764,Colorectum,2,9957,-,-,9957,14.5,27.6,1.7
11,C22,764,Liver and intrahepatic bile ducts,2,8797,8435,9174,8797,12.6,24.4,1.5
12,C23,764,Gallbladder,2,852,668,1087,852,1.1,2.4,0.14
13,C25,764,Pancreas,2,1291,1104,1509,1291,1.8,3.6,0.22
14,C32,764,Larynx,2,171,103,283,171,0.25,0.47,0.03
15,C33-34,764,"Trachea, bronchus and lung",2,8294,7968,8634,8294,11.7,23.0,1.4
16,C43,764,Melanoma of skin,2,305,205,453,305,0.47,0.85,0.05
17,C44,764,Non-melanoma skin cancer,2,1467,1302,1652,1467,1.9,4.1,0.20
18,C45,764,Mesothelioma,2,13,5,37,13,0.02,0.04,0.00
19,C46,764,Kaposi sarcoma,2,10,4,26,10,0.01,0.03,0.00
20,C50,764,Breast,2,21628,20982,22293,21628,37.4,60.0,4.0
21,C51,764,Vulva,2,252,160,397,252,0.37,0.70,0.04
22,C52,764,Vagina,2,166,95,291,166,0.26,0.46,0.03
23,C53,764,Cervix uteri,2,8662,8294,9046,8662,14.9,24.1,1.6
24,C54,764,Corpus uteri,2,4248,3994,4518,4248,6.9,11.8,0.82
25,C56,764,Ovary,2,4144,3905,4398,4144,7.4,11.5,0.78
29,C64,764,Kidney,2,669,514,871,669,1.1,1.9,0.12
30,C67,764,Bladder,2,1344,1116,1618,1344,1.8,3.7,0.20
31,C70-72,764," Brain, central nervous system",2,1269,1121,1437,1269,2.6,3.5,0.24
32,C73,764,Thyroid,2,2734,2534,2949,2734,5.2,7.6,0.51
33,C81,764,Hodgkin lymphoma,2,138,75,255,138,0.34,0.38,0.03
34,C82-86+C88,764,Non-Hodgkin lymphoma,2,3206,2992,3435,3206,5.2,8.9,0.57
35,C90,764,Multiple myeloma,2,685,528,889,685,0.99,1.9,0.12
36,C91-95,764,Leukaemia,2,2124,1923,2346,2124,4.6,5.9,0.40
