Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,528,All cancers,1,69570,68858,70290,69570,350.8,810.8,33.9
1,C00-06,528,"Lip, oral cavity",1,862,758,980,862,4.9,10.1,0.59
2,C07-08,528,Salivary glands,1,107,81,142,107,0.60,1.3,0.06
3,C09-10,528,Oropharynx,1,301,238,381,301,1.7,3.5,0.22
4,C11,528,Nasopharynx,1,57,42,77,57,0.45,0.66,0.05
5,C12-13,528,Hypopharynx,1,178,125,254,178,0.94,2.1,0.13
6,C15,528,Oesophagus,1,2035,1889,2192,2035,10.3,23.7,1.3
7,C16,528,Stomach,1,1102,1012,1200,1102,5.4,12.8,0.63
41,C18-C21,528,Colorectum,1,10090,-,-,10090,50.1,117.6,6.1
11,C22,528,Liver and intrahepatic bile ducts,1,953,775,1172,953,4.4,11.1,0.48
12,C23,528,Gallbladder,1,61,45,83,61,0.26,0.71,0.03
13,C25,528,Pancreas,1,1771,1621,1935,1771,8.6,20.6,1.1
14,C32,528,Larynx,1,529,456,614,529,2.7,6.2,0.35
15,C33-34,528,"Trachea, bronchus and lung",1,7793,7492,8106,7793,36.5,90.8,4.4
16,C43,528,Melanoma of skin,1,4078,3838,4334,4078,24.2,47.5,2.7
17,C44,528,Non-melanoma skin cancer,1,8725,8301,9171,8725,33.4,101.7,3.1
18,C45,528,Mesothelioma,1,565,489,653,565,2.4,6.6,0.29
19,C46,528,Kaposi sarcoma,1,30,22,42,30,0.23,0.35,0.02
26,C60,528,Penis,1,181,120,272,181,0.86,2.1,0.10
27,C61,528,Prostate,1,11956,11305,12644,11956,57.0,139.3,7.6
28,C62,528,Testis,1,805,680,953,805,9.7,9.4,0.74
29,C64,528,Kidney,1,1925,1772,2091,1925,11.0,22.4,1.3
30,C67,528,Bladder,1,5759,5525,6003,5759,26.4,67.1,3.1
31,C70-72,528," Brain, central nervous system",1,827,713,959,827,6.2,9.6,0.62
32,C73,528,Thyroid,1,299,240,372,299,2.2,3.5,0.23
33,C81,528,Hodgkin lymphoma,1,280,225,349,280,2.9,3.3,0.24
34,C82-86+C88,528,Non-Hodgkin lymphoma,1,2656,2437,2895,2656,15.1,31.0,1.7
35,C90,528,Multiple myeloma,1,940,850,1040,940,4.6,11.0,0.57
36,C91-95,528,Leukaemia,1,1955,1807,2116,1955,12.3,22.8,1.3
