Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,626,All cancers,1,373,322,431,373,80.8,53.9,8.8
1,C00-06,626,"Lip, oral cavity",1,4,4,4,4,0.96,0.58,0.14
2,C07-08,626,Salivary glands,1,3,0,50,3,0.45,0.43,0.04
3,C09-10,626,Oropharynx,1,0,0,0,0,0.00,0.00,0.00
4,C11,626,Nasopharynx,1,34,20,58,34,7.2,4.9,0.90
5,C12-13,626,Hypopharynx,1,0,0,0,0,0.00,0.00,0.00
6,C15,626,Oesophagus,1,3,1,6,3,0.77,0.43,0.14
7,C16,626,Stomach,1,19,15,24,19,4.4,2.8,0.46
41,C18-C21,626,Colorectum,1,42,-,-,42,9.8,6.1,1.1
11,C22,626,Liver and intrahepatic bile ducts,1,38,26,56,38,8.6,5.5,1.0
12,C23,626,Gallbladder,1,0,0,0,0,0.00,0.00,0.00
13,C25,626,Pancreas,1,8,4,17,8,1.8,1.2,0.20
14,C32,626,Larynx,1,6,0,100,6,1.3,0.87,0.18
15,C33-34,626,"Trachea, bronchus and lung",1,63,50,79,63,14.7,9.1,1.8
16,C43,626,Melanoma of skin,1,0,0,0,0,0.00,0.00,0.00
17,C44,626,Non-melanoma skin cancer,1,4,3,5,4,0.96,0.58,0.14
18,C45,626,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,626,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,626,Penis,1,0,0,0,0,0.00,0.00,0.00
27,C61,626,Prostate,1,32,27,38,32,7.8,4.6,0.87
28,C62,626,Testis,1,4,1,17,4,0.49,0.58,0.03
29,C64,626,Kidney,1,8,6,11,8,1.7,1.2,0.19
30,C67,626,Bladder,1,13,6,28,13,3.1,1.9,0.29
31,C70-72,626," Brain, central nervous system",1,9,1,95,9,1.4,1.3,0.11
32,C73,626,Thyroid,1,3,2,4,3,0.55,0.43,0.06
33,C81,626,Hodgkin lymphoma,1,2,1,3,2,0.25,0.29,0.01
34,C82-86+C88,626,Non-Hodgkin lymphoma,1,23,17,32,23,4.5,3.3,0.49
35,C90,626,Multiple myeloma,1,5,0,55,5,1.2,0.72,0.14
36,C91-95,626,Leukaemia,1,19,11,34,19,3.0,2.8,0.27
