Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,780,All cancers,2,1962,1846,2085,1962,182.1,275.3,17.6
1,C00-06,780,"Lip, oral cavity",2,21,1,309,21,1.9,3.0,0.21
2,C07-08,780,Salivary glands,2,5,0,74,5,0.59,0.70,0.06
3,C09-10,780,Oropharynx,2,3,0,44,3,0.33,0.42,0.03
4,C11,780,Nasopharynx,2,2,0,29,2,0.22,0.28,0.02
5,C12-13,780,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,780,Oesophagus,2,5,0,74,5,0.38,0.70,0.05
7,C16,780,Stomach,2,33,10,113,33,2.6,4.6,0.27
41,C18-C21,780,Colorectum,2,198,-,-,198,16.3,27.8,1.7
11,C22,780,Liver and intrahepatic bile ducts,2,30,13,67,30,2.4,4.2,0.29
12,C23,780,Gallbladder,2,15,3,67,15,1.2,2.1,0.09
13,C25,780,Pancreas,2,46,24,88,46,3.4,6.5,0.35
14,C32,780,Larynx,2,0,0,0,0,0.00,0.00,0.00
15,C33-34,780,"Trachea, bronchus and lung",2,65,34,123,65,5.1,9.1,0.58
16,C43,780,Melanoma of skin,2,2,0,29,2,0.18,0.28,0.01
17,C44,780,Non-melanoma skin cancer,2,5,0,74,5,0.42,0.70,0.03
18,C45,780,Mesothelioma,2,1,0,15,1,0.08,0.14,0.02
19,C46,780,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,780,Breast,2,570,289,1125,570,54.0,80.0,5.6
21,C51,780,Vulva,2,8,1,118,8,0.61,1.1,0.07
22,C52,780,Vagina,2,6,0,88,6,0.52,0.84,0.07
23,C53,780,Cervix uteri,2,192,101,364,192,18.3,26.9,1.9
24,C54,780,Corpus uteri,2,217,60,788,217,18.8,30.5,2.3
25,C56,780,Ovary,2,117,56,244,117,11.1,16.4,1.2
29,C64,780,Kidney,2,43,3,633,43,4.2,6.0,0.47
30,C67,780,Bladder,2,20,2,257,20,1.6,2.8,0.16
31,C70-72,780," Brain, central nervous system",2,13,2,88,13,1.6,1.8,0.13
32,C73,780,Thyroid,2,82,6,1206,82,8.3,11.5,0.91
33,C81,780,Hodgkin lymphoma,2,6,0,88,6,0.69,0.84,0.05
34,C82-86+C88,780,Non-Hodgkin lymphoma,2,58,8,445,58,6.3,8.1,0.56
35,C90,780,Multiple myeloma,2,25,9,72,25,2.1,3.5,0.26
36,C91-95,780,Leukaemia,2,48,14,165,48,6.1,6.7,0.48
