Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,780,All cancers,1,1969,1853,2092,1969,195.5,283.8,19.6
1,C00-06,780,"Lip, oral cavity",1,22,3,156,22,2.2,3.2,0.25
2,C07-08,780,Salivary glands,1,2,0,29,2,0.22,0.29,0.02
3,C09-10,780,Oropharynx,1,12,1,177,12,1.3,1.7,0.14
4,C11,780,Nasopharynx,1,4,0,59,4,0.37,0.58,0.03
5,C12-13,780,Hypopharynx,1,7,0,103,7,0.63,1.0,0.07
6,C15,780,Oesophagus,1,25,11,57,25,2.4,3.6,0.30
7,C16,780,Stomach,1,61,30,125,61,5.6,8.8,0.61
41,C18-C21,780,Colorectum,1,220,-,-,220,21.1,31.7,2.4
11,C22,780,Liver and intrahepatic bile ducts,1,35,17,70,35,3.3,5.0,0.40
12,C23,780,Gallbladder,1,3,0,44,3,0.28,0.43,0.02
13,C25,780,Pancreas,1,65,39,109,65,6.1,9.4,0.69
14,C32,780,Larynx,1,29,9,91,29,2.8,4.2,0.28
15,C33-34,780,"Trachea, bronchus and lung",1,199,135,293,199,19.2,28.7,2.2
16,C43,780,Melanoma of skin,1,4,0,59,4,0.42,0.58,0.07
17,C44,780,Non-melanoma skin cancer,1,8,1,118,8,0.82,1.2,0.05
18,C45,780,Mesothelioma,1,1,0,15,1,0.09,0.14,0.02
19,C46,780,Kaposi sarcoma,1,6,0,88,6,0.69,0.86,0.05
26,C60,780,Penis,1,9,1,132,9,0.90,1.3,0.10
27,C61,780,Prostate,1,775,598,1005,775,73.6,111.7,8.4
28,C62,780,Testis,1,12,1,177,12,1.6,1.7,0.11
29,C64,780,Kidney,1,50,4,562,50,5.3,7.2,0.64
30,C67,780,Bladder,1,65,19,225,65,6.2,9.4,0.74
31,C70-72,780," Brain, central nervous system",1,19,5,76,19,2.5,2.7,0.21
32,C73,780,Thyroid,1,12,1,177,12,1.4,1.7,0.15
33,C81,780,Hodgkin lymphoma,1,10,1,147,10,1.3,1.4,0.11
34,C82-86+C88,780,Non-Hodgkin lymphoma,1,70,15,338,70,8.1,10.1,0.71
35,C90,780,Multiple myeloma,1,33,15,74,33,3.1,4.8,0.34
36,C91-95,780,Leukaemia,1,50,21,118,50,6.2,7.2,0.54
