Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,788,All cancers,1,11441,11174,11715,11441,159.4,191.5,16.9
1,C00-06,788,"Lip, oral cavity",1,178,114,278,178,2.5,3.0,0.29
2,C07-08,788,Salivary glands,1,21,4,120,21,0.29,0.35,0.03
3,C09-10,788,Oropharynx,1,28,6,127,28,0.39,0.47,0.05
4,C11,788,Nasopharynx,1,299,224,398,299,4.3,5.0,0.45
5,C12-13,788,Hypopharynx,1,21,3,159,21,0.29,0.35,0.03
6,C15,788,Oesophagus,1,52,17,158,52,0.73,0.87,0.11
7,C16,788,Stomach,1,331,253,432,331,4.6,5.5,0.54
41,C18-C21,788,Colorectum,1,939,-,-,939,12.9,15.7,1.5
11,C22,788,Liver and intrahepatic bile ducts,1,342,240,488,342,4.7,5.7,0.57
12,C23,788,Gallbladder,1,68,33,142,68,0.92,1.1,0.12
13,C25,788,Pancreas,1,311,243,398,311,4.3,5.2,0.52
14,C32,788,Larynx,1,452,347,589,452,6.2,7.6,0.77
15,C33-34,788,"Trachea, bronchus and lung",1,2742,2539,2961,2742,37.8,45.9,4.6
16,C43,788,Melanoma of skin,1,48,11,219,48,0.66,0.80,0.07
17,C44,788,Non-melanoma skin cancer,1,265,186,377,265,3.7,4.4,0.43
18,C45,788,Mesothelioma,1,17,1,213,17,0.23,0.28,0.03
19,C46,788,Kaposi sarcoma,1,39,11,134,39,0.55,0.65,0.09
26,C60,788,Penis,1,9,1,113,9,0.12,0.15,0.02
27,C61,788,Prostate,1,1252,1108,1415,1252,16.8,21.0,1.9
28,C62,788,Testis,1,43,11,167,43,0.68,0.72,0.05
29,C64,788,Kidney,1,182,125,265,182,2.6,3.1,0.29
30,C67,788,Bladder,1,1234,1092,1394,1234,16.9,20.7,2.1
31,C70-72,788," Brain, central nervous system",1,273,209,356,273,4.1,4.6,0.40
32,C73,788,Thyroid,1,75,31,180,75,1.1,1.3,0.11
33,C81,788,Hodgkin lymphoma,1,157,112,221,157,2.4,2.6,0.22
34,C82-86+C88,788,Non-Hodgkin lymphoma,1,515,403,659,515,7.3,8.6,0.77
35,C90,788,Multiple myeloma,1,110,51,238,110,1.5,1.8,0.19
36,C91-95,788,Leukaemia,1,412,333,510,412,6.3,6.9,0.58
