Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,795,All cancers,1,3047,2902,3199,3047,128.8,99.8,13.9
1,C00-06,795,"Lip, oral cavity",1,111,69,179,111,4.6,3.6,0.55
2,C07-08,795,Salivary glands,1,7,3,15,7,0.28,0.23,0.04
3,C09-10,795,Oropharynx,1,32,2,471,32,1.4,1.1,0.20
4,C11,795,Nasopharynx,1,27,6,121,27,0.95,0.88,0.10
5,C12-13,795,Hypopharynx,1,31,2,456,31,1.3,1.0,0.16
6,C15,795,Oesophagus,1,208,25,1744,208,9.8,6.8,1.1
7,C16,795,Stomach,1,413,345,495,413,18.7,13.5,2.3
41,C18-C21,795,Colorectum,1,162,-,-,162,6.8,5.3,0.78
11,C22,795,Liver and intrahepatic bile ducts,1,189,95,374,189,8.3,6.2,1.0
12,C23,795,Gallbladder,1,13,1,129,13,0.61,0.43,0.07
13,C25,795,Pancreas,1,77,11,555,77,3.5,2.5,0.44
14,C32,795,Larynx,1,56,4,824,56,2.3,1.8,0.30
15,C33-34,795,"Trachea, bronchus and lung",1,372,153,903,372,16.1,12.2,2.0
16,C43,795,Melanoma of skin,1,21,1,309,21,0.93,0.69,0.10
17,C44,795,Non-melanoma skin cancer,1,107,7,1574,107,4.9,3.5,0.55
18,C45,795,Mesothelioma,1,1,1,2,1,0.04,0.03,0.01
19,C46,795,Kaposi sarcoma,1,3,2,6,3,0.11,0.10,0.01
26,C60,795,Penis,1,0,0,0,0,0.00,0.00,0.00
27,C61,795,Prostate,1,123,16,954,123,6.1,4.0,0.74
28,C62,795,Testis,1,61,4,832,61,2.0,2.0,0.16
29,C64,795,Kidney,1,132,19,897,132,5.3,4.3,0.61
30,C67,795,Bladder,1,125,8,1839,125,5.6,4.1,0.67
31,C70-72,795," Brain, central nervous system",1,141,102,195,141,5.1,4.6,0.51
32,C73,795,Thyroid,1,18,1,265,18,0.64,0.59,0.08
33,C81,795,Hodgkin lymphoma,1,25,2,368,25,0.85,0.82,0.08
34,C82-86+C88,795,Non-Hodgkin lymphoma,1,38,28,51,38,1.5,1.2,0.15
35,C90,795,Multiple myeloma,1,29,2,427,29,1.3,0.95,0.14
36,C91-95,795,Leukaemia,1,114,24,549,114,4.2,3.7,0.39
