Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,784,All cancers,1,2607,2500,2719,2607,86.4,37.6,9.6
1,C00-06,784,"Lip, oral cavity",1,63,39,102,63,1.7,0.91,0.19
2,C07-08,784,Salivary glands,1,8,2,30,8,0.16,0.12,0.02
3,C09-10,784,Oropharynx,1,8,2,37,8,0.15,0.12,0.02
4,C11,784,Nasopharynx,1,26,13,54,26,0.57,0.38,0.09
5,C12-13,784,Hypopharynx,1,2,0,17,2,0.03,0.03,0.00
6,C15,784,Oesophagus,1,25,12,53,25,1.1,0.36,0.12
7,C16,784,Stomach,1,111,78,158,111,4.1,1.6,0.47
41,C18-C21,784,Colorectum,1,346,-,-,346,11.3,5.0,1.4
11,C22,784,Liver and intrahepatic bile ducts,1,57,36,91,57,2.8,0.82,0.27
12,C23,784,Gallbladder,1,8,2,37,8,0.26,0.12,0.04
13,C25,784,Pancreas,1,54,33,87,54,2.4,0.78,0.25
14,C32,784,Larynx,1,48,28,82,48,1.8,0.69,0.20
15,C33-34,784,"Trachea, bronchus and lung",1,184,139,244,184,6.8,2.7,0.82
16,C43,784,Melanoma of skin,1,18,7,43,18,0.44,0.26,0.07
17,C44,784,Non-melanoma skin cancer,1,55,34,90,55,1.9,0.79,0.22
18,C45,784,Mesothelioma,1,8,1,44,8,0.21,0.12,0.02
19,C46,784,Kaposi sarcoma,1,4,0,34,4,0.12,0.06,0.02
26,C60,784,Penis,1,3,0,26,3,0.11,0.04,0.01
27,C61,784,Prostate,1,310,251,383,310,13.8,4.5,1.6
28,C62,784,Testis,1,42,24,75,42,0.57,0.61,0.05
29,C64,784,Kidney,1,79,52,119,79,2.6,1.1,0.32
30,C67,784,Bladder,1,190,145,249,190,7.4,2.7,0.85
31,C70-72,784," Brain, central nervous system",1,83,55,126,83,1.9,1.2,0.24
32,C73,784,Thyroid,1,107,74,154,107,2.4,1.5,0.27
33,C81,784,Hodgkin lymphoma,1,55,33,91,55,1.4,0.79,0.14
34,C82-86+C88,784,Non-Hodgkin lymphoma,1,129,91,183,129,3.3,1.9,0.41
35,C90,784,Multiple myeloma,1,45,24,83,45,1.3,0.65,0.19
36,C91-95,784,Leukaemia,1,176,136,228,176,5.0,2.5,0.52
