Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,826,All cancers,1,242245,240981,243516,242245,327.7,715.1,31.6
1,C00-06,826,"Lip, oral cavity",1,3986,3820,4159,3986,6.6,11.8,0.80
2,C07-08,826,Salivary glands,1,430,375,493,430,0.67,1.3,0.07
3,C09-10,826,Oropharynx,1,2241,2064,2433,2241,4.1,6.6,0.50
4,C11,826,Nasopharynx,1,199,162,244,199,0.39,0.59,0.04
5,C12-13,826,Hypopharynx,1,617,552,690,617,0.95,1.8,0.12
6,C15,826,Oesophagus,1,6504,6219,6802,6504,8.8,19.2,1.1
7,C16,826,Stomach,1,3872,3617,4145,3872,4.9,11.4,0.54
41,C18-C21,826,Colorectum,1,26593,-,-,26593,35.1,78.5,4.0
11,C22,826,Liver and intrahepatic bile ducts,1,4920,4714,5135,4920,6.5,14.5,0.77
12,C23,826,Gallbladder,1,377,308,462,377,0.43,1.1,0.04
13,C25,826,Pancreas,1,5786,5514,6071,5786,7.4,17.1,0.86
14,C32,826,Larynx,1,1903,1790,2023,1903,2.8,5.6,0.35
15,C33-34,826,"Trachea, bronchus and lung",1,25711,25248,26183,25711,31.9,75.9,3.8
16,C43,826,Melanoma of skin,1,10170,9855,10495,10170,15.1,30.0,1.7
17,C44,826,Non-melanoma skin cancer,1,24719,21915,27882,24719,25.0,73.0,2.3
18,C45,826,Mesothelioma,1,2702,2546,2868,2702,3.0,8.0,0.34
19,C46,826,Kaposi sarcoma,1,127,98,165,127,0.28,0.37,0.03
26,C60,826,Penis,1,799,692,922,799,1.2,2.4,0.14
27,C61,826,Prostate,1,55485,53780,57244,55485,74.0,163.8,9.3
28,C62,826,Testis,1,2389,2213,2579,2389,6.7,7.1,0.53
29,C64,826,Kidney,1,8717,8436,9007,8717,13.4,25.7,1.5
30,C67,826,Bladder,1,17555,17240,17876,17555,21.1,51.8,2.4
31,C70-72,826," Brain, central nervous system",1,3318,3124,3524,3318,6.4,9.8,0.64
32,C73,826,Thyroid,1,1340,1234,1455,1340,2.7,4.0,0.28
33,C81,826,Hodgkin lymphoma,1,1348,1232,1475,1348,3.3,4.0,0.28
34,C82-86+C88,826,Non-Hodgkin lymphoma,1,9047,8764,9339,9047,13.4,26.7,1.5
35,C90,826,Multiple myeloma,1,3801,3577,4039,3801,4.9,11.2,0.57
36,C91-95,826,Leukaemia,1,6507,6247,6778,6507,10.4,19.2,1.0
