Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,858,All cancers,2,8238,8053,8427,8238,253.2,456.3,24.4
1,C00-06,858,"Lip, oral cavity",2,54,32,90,54,1.4,3.0,0.15
2,C07-08,858,Salivary glands,2,15,6,38,15,0.42,0.83,0.05
3,C09-10,858,Oropharynx,2,8,2,28,8,0.27,0.44,0.03
4,C11,858,Nasopharynx,2,5,1,32,5,0.21,0.28,0.02
5,C12-13,858,Hypopharynx,2,4,1,31,4,0.14,0.22,0.02
6,C15,858,Oesophagus,2,88,58,133,88,2.0,4.9,0.22
7,C16,858,Stomach,2,243,193,306,243,6.0,13.5,0.66
41,C18-C21,858,Colorectum,2,1071,-,-,1071,26.6,59.3,3.0
11,C22,858,Liver and intrahepatic bile ducts,2,48,29,80,48,1.2,2.7,0.14
12,C23,858,Gallbladder,2,87,59,128,87,2.4,4.8,0.29
13,C25,858,Pancreas,2,454,387,533,454,10.1,25.1,1.2
14,C32,858,Larynx,2,23,11,48,23,0.69,1.3,0.08
15,C33-34,858,"Trachea, bronchus and lung",2,532,430,658,532,16.4,29.5,2.0
16,C43,858,Melanoma of skin,2,118,84,165,118,3.9,6.5,0.42
17,C44,858,Non-melanoma skin cancer,2,493,420,579,493,13.1,27.3,1.5
18,C45,858,Mesothelioma,2,4,1,31,4,0.09,0.22,0.01
19,C46,858,Kaposi sarcoma,2,2,0,16,2,0.06,0.11,0.00
20,C50,858,Breast,2,2185,2026,2357,2185,75.1,121.0,8.1
21,C51,858,Vulva,2,47,28,79,47,1.1,2.6,0.12
22,C52,858,Vagina,2,18,8,42,18,0.44,1.0,0.05
23,C53,858,Cervix uteri,2,377,312,456,377,15.9,20.9,1.6
24,C54,858,Corpus uteri,2,273,222,335,273,8.3,15.1,1.0
25,C56,858,Ovary,2,240,191,302,240,8.0,13.3,0.89
29,C64,858,Kidney,2,265,200,350,265,8.7,14.7,1.0
30,C67,858,Bladder,2,142,105,192,142,3.3,7.9,0.37
31,C70-72,858," Brain, central nervous system",2,110,79,154,110,4.0,6.1,0.39
32,C73,858,Thyroid,2,312,240,405,312,14.6,17.3,1.4
33,C81,858,Hodgkin lymphoma,2,34,19,61,34,1.8,1.9,0.14
34,C82-86+C88,858,Non-Hodgkin lymphoma,2,229,181,289,229,7.1,12.7,0.80
35,C90,858,Multiple myeloma,2,81,54,120,81,2.0,4.5,0.25
36,C91-95,858,Leukaemia,2,138,102,186,138,4.7,7.6,0.42
