Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,860,All cancers,1,16035,15698,16379,16035,112.9,93.5,12.7
1,C00-06,860,"Lip, oral cavity",1,765,426,1375,765,5.2,4.5,0.64
2,C07-08,860,Salivary glands,1,63,19,210,63,0.43,0.37,0.05
3,C09-10,860,Oropharynx,1,117,46,297,117,0.85,0.68,0.11
4,C11,860,Nasopharynx,1,153,63,374,153,0.94,0.89,0.09
5,C12-13,860,Hypopharynx,1,84,11,661,84,0.57,0.49,0.07
6,C15,860,Oesophagus,1,704,566,876,704,5.4,4.1,0.68
7,C16,860,Stomach,1,1894,1634,2195,1894,14.0,11.0,1.8
41,C18-C21,860,Colorectum,1,1419,-,-,1419,10.0,8.3,1.3
11,C22,860,Liver and intrahepatic bile ducts,1,990,821,1193,990,7.2,5.8,0.90
12,C23,860,Gallbladder,1,34,12,99,34,0.25,0.20,0.03
13,C25,860,Pancreas,1,603,454,801,603,4.3,3.5,0.55
14,C32,860,Larynx,1,112,62,203,112,0.78,0.65,0.10
15,C33-34,860,"Trachea, bronchus and lung",1,1854,1627,2112,1854,13.6,10.8,1.8
16,C43,860,Melanoma of skin,1,94,28,313,94,0.69,0.55,0.07
17,C44,860,Non-melanoma skin cancer,1,222,52,942,222,1.7,1.3,0.19
18,C45,860,Mesothelioma,1,22,8,64,22,0.15,0.13,0.02
19,C46,860,Kaposi sarcoma,1,30,10,92,30,0.20,0.17,0.02
26,C60,860,Penis,1,10,1,147,10,0.08,0.06,0.01
27,C61,860,Prostate,1,1217,849,1744,1217,10.3,7.1,1.3
28,C62,860,Testis,1,290,32,2645,290,1.7,1.7,0.14
29,C64,860,Kidney,1,489,311,769,489,3.3,2.9,0.37
30,C67,860,Bladder,1,643,383,1081,643,4.7,3.8,0.61
31,C70-72,860," Brain, central nervous system",1,901,726,1119,901,5.5,5.3,0.55
32,C73,860,Thyroid,1,82,6,1206,82,0.51,0.48,0.06
33,C81,860,Hodgkin lymphoma,1,277,40,1941,277,1.7,1.6,0.16
34,C82-86+C88,860,Non-Hodgkin lymphoma,1,358,229,561,358,2.2,2.1,0.21
35,C90,860,Multiple myeloma,1,18,8,38,18,0.12,0.10,0.01
36,C91-95,860,Leukaemia,1,706,578,862,706,4.4,4.1,0.39
