Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,862,All cancers,1,31374,30901,31854,31374,201.6,218.0,19.8
1,C00-06,862,"Lip, oral cavity",1,413,200,851,413,2.7,2.9,0.30
2,C07-08,862,Salivary glands,1,83,17,406,83,0.54,0.58,0.06
3,C09-10,862,Oropharynx,1,299,122,734,299,1.9,2.1,0.24
4,C11,862,Nasopharynx,1,85,28,260,85,0.55,0.59,0.06
5,C12-13,862,Hypopharynx,1,56,4,824,56,0.36,0.39,0.05
6,C15,862,Oesophagus,1,351,266,463,351,2.3,2.4,0.27
7,C16,862,Stomach,1,1821,1439,2305,1821,11.6,12.7,1.3
41,C18-C21,862,Colorectum,1,3389,-,-,3389,21.8,23.6,2.6
11,C22,862,Liver and intrahepatic bile ducts,1,751,592,952,751,4.8,5.2,0.53
12,C23,862,Gallbladder,1,63,29,138,63,0.40,0.44,0.04
13,C25,862,Pancreas,1,716,588,872,716,4.6,5.0,0.54
14,C32,862,Larynx,1,706,499,1000,706,4.6,4.9,0.57
15,C33-34,862,"Trachea, bronchus and lung",1,3183,2872,3528,3183,20.4,22.1,2.4
16,C43,862,Melanoma of skin,1,293,59,1448,293,1.9,2.0,0.21
17,C44,862,Non-melanoma skin cancer,1,2538,671,9598,2538,15.9,17.6,1.3
18,C45,862,Mesothelioma,1,10,1,124,10,0.06,0.07,0.01
19,C46,862,Kaposi sarcoma,1,173,12,2545,173,1.1,1.2,0.10
26,C60,862,Penis,1,268,67,1078,268,1.7,1.9,0.14
27,C61,862,Prostate,1,8212,7075,9532,8212,52.3,57.1,5.7
28,C62,862,Testis,1,368,25,5414,368,2.5,2.6,0.18
29,C64,862,Kidney,1,1427,695,2932,1427,9.3,9.9,1.1
30,C67,862,Bladder,1,825,436,1561,825,5.3,5.7,0.57
31,C70-72,862," Brain, central nervous system",1,458,335,626,458,3.1,3.2,0.29
32,C73,862,Thyroid,1,240,34,1687,240,1.6,1.7,0.17
33,C81,862,Hodgkin lymphoma,1,390,63,2398,390,2.6,2.7,0.25
34,C82-86+C88,862,Non-Hodgkin lymphoma,1,1162,671,2011,1162,7.6,8.1,0.79
35,C90,862,Multiple myeloma,1,251,172,367,251,1.6,1.7,0.19
36,C91-95,862,Leukaemia,1,1032,755,1411,1032,7.0,7.2,0.61
