Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,704,All cancers,2,85122,84471,85778,85122,132.3,171.8,13.7
1,C00-06,704,"Lip, oral cavity",2,550,466,649,550,0.83,1.1,0.09
2,C07-08,704,Salivary glands,2,166,124,223,166,0.27,0.34,0.03
3,C09-10,704,Oropharynx,2,114,75,173,114,0.18,0.23,0.02
4,C11,704,Nasopharynx,2,1610,1461,1774,1610,2.5,3.3,0.27
5,C12-13,704,Hypopharynx,2,419,329,533,419,0.60,0.85,0.06
6,C15,704,Oesophagus,2,387,313,479,387,0.57,0.78,0.07
7,C16,704,Stomach,2,6215,5920,6525,6215,9.2,12.5,1.1
41,C18-C21,704,Colorectum,2,7402,-,-,7402,11.0,14.9,1.3
11,C22,704,Liver and intrahepatic bile ducts,2,5550,5275,5839,5550,8.2,11.2,0.98
12,C23,704,Gallbladder,2,117,82,167,117,0.17,0.24,0.02
13,C25,704,Pancreas,2,458,383,548,458,0.67,0.92,0.08
14,C32,704,Larynx,2,307,239,395,307,0.41,0.62,0.04
15,C33-34,704,"Trachea, bronchus and lung",2,7419,7098,7755,7419,11.0,15.0,1.3
16,C43,704,Melanoma of skin,2,92,55,155,92,0.14,0.19,0.01
17,C44,704,Non-melanoma skin cancer,2,679,585,788,679,0.95,1.4,0.11
18,C45,704,Mesothelioma,2,220,158,306,220,0.36,0.44,0.04
19,C46,704,Kaposi sarcoma,2,42,19,91,42,0.08,0.08,0.01
20,C50,704,Breast,2,24563,23945,25197,24563,38.0,49.6,4.1
21,C51,704,Vulva,2,188,141,251,188,0.28,0.38,0.03
22,C52,704,Vagina,2,62,33,117,62,0.09,0.13,0.01
23,C53,704,Cervix uteri,2,4612,4353,4886,4612,7.1,9.3,0.80
24,C54,704,Corpus uteri,2,4953,4686,5235,4953,7.8,10.0,0.93
25,C56,704,Ovary,2,1534,1389,1694,1534,2.5,3.1,0.27
29,C64,704,Kidney,2,1164,1039,1305,1164,2.0,2.4,0.20
30,C67,704,Bladder,2,372,304,455,372,0.51,0.75,0.06
31,C70-72,704," Brain, central nervous system",2,1282,1152,1426,1282,2.2,2.6,0.22
32,C73,704,Thyroid,2,4989,4716,5278,4989,8.3,10.1,0.79
33,C81,704,Hodgkin lymphoma,2,278,206,375,278,0.53,0.56,0.04
34,C82-86+C88,704,Non-Hodgkin lymphoma,2,1520,1378,1677,1520,2.4,3.1,0.28
35,C90,704,Multiple myeloma,2,288,228,363,288,0.44,0.58,0.06
36,C91-95,704,Leukaemia,2,2839,2641,3052,2839,5.4,5.7,0.46
