Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,887,All cancers,2,9312,9072,9558,9312,89.2,60.2,8.8
1,C00-06,887,"Lip, oral cavity",2,170,130,223,170,2.0,1.1,0.21
2,C07-08,887,Salivary glands,2,103,74,143,103,1.1,0.67,0.12
3,C09-10,887,Oropharynx,2,35,19,64,35,0.41,0.23,0.04
4,C11,887,Nasopharynx,2,116,83,163,116,0.97,0.75,0.09
5,C12-13,887,Hypopharynx,2,10,3,31,10,0.07,0.06,0.01
6,C15,887,Oesophagus,2,529,446,627,529,6.3,3.4,0.73
7,C16,887,Stomach,2,411,343,493,411,4.9,2.7,0.53
41,C18-C21,887,Colorectum,2,740,-,-,740,8.6,4.8,0.94
11,C22,887,Liver and intrahepatic bile ducts,2,265,216,326,265,2.9,1.7,0.33
12,C23,887,Gallbladder,2,14,5,36,14,0.16,0.09,0.02
13,C25,887,Pancreas,2,167,127,220,167,1.8,1.1,0.18
14,C32,887,Larynx,2,18,8,42,18,0.17,0.12,0.01
15,C33-34,887,"Trachea, bronchus and lung",2,331,274,399,331,3.2,2.1,0.34
16,C43,887,Melanoma of skin,2,11,4,32,11,0.13,0.07,0.01
17,C44,887,Non-melanoma skin cancer,2,105,75,148,105,1.2,0.68,0.14
18,C45,887,Mesothelioma,2,2,0,25,2,0.02,0.01,0.00
19,C46,887,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,887,Breast,2,2872,2661,3100,2872,25.4,18.6,2.5
21,C51,887,Vulva,2,18,8,42,18,0.24,0.12,0.02
22,C52,887,Vagina,2,36,20,65,36,0.41,0.23,0.05
23,C53,887,Cervix uteri,2,212,166,271,212,2.1,1.4,0.26
24,C54,887,Corpus uteri,2,16,7,39,16,0.15,0.10,0.02
25,C56,887,Ovary,2,341,283,410,341,2.9,2.2,0.28
29,C64,887,Kidney,2,63,40,99,63,0.44,0.41,0.03
30,C67,887,Bladder,2,67,43,105,67,0.85,0.43,0.09
31,C70-72,887," Brain, central nervous system",2,314,257,384,314,2.3,2.0,0.20
32,C73,887,Thyroid,2,395,329,474,395,3.2,2.6,0.30
33,C81,887,Hodgkin lymphoma,2,150,111,203,150,1.4,0.97,0.14
34,C82-86+C88,887,Non-Hodgkin lymphoma,2,345,286,417,345,3.0,2.2,0.28
35,C90,887,Multiple myeloma,2,2,0,25,2,0.03,0.01,0.00
36,C91-95,887,Leukaemia,2,505,430,593,505,4.1,3.3,0.39
