Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,716,All cancers,1,6505,6329,6686,6505,202.5,88.8,20.5
1,C00-06,716,"Lip, oral cavity",1,61,26,145,61,1.9,0.83,0.23
2,C07-08,716,Salivary glands,1,26,8,89,26,0.68,0.36,0.08
3,C09-10,716,Oropharynx,1,12,2,94,12,0.37,0.16,0.05
4,C11,716,Nasopharynx,1,30,10,94,30,0.76,0.41,0.09
5,C12-13,716,Hypopharynx,1,6,1,24,6,0.21,0.08,0.03
6,C15,716,Oesophagus,1,423,343,521,423,14.8,5.8,1.7
7,C16,716,Stomach,1,291,230,368,291,10.4,4.0,1.2
41,C18-C21,716,Colorectum,1,340,-,-,340,10.8,4.6,1.3
11,C22,716,Liver and intrahepatic bile ducts,1,353,288,433,353,10.1,4.8,1.1
12,C23,716,Gallbladder,1,13,2,74,13,0.42,0.18,0.05
13,C25,716,Pancreas,1,97,63,150,97,3.4,1.3,0.40
14,C32,716,Larynx,1,81,42,155,81,2.8,1.1,0.37
15,C33-34,716,"Trachea, bronchus and lung",1,255,198,328,255,9.2,3.5,1.1
16,C43,716,Melanoma of skin,1,50,18,141,50,1.6,0.68,0.19
17,C44,716,Non-melanoma skin cancer,1,171,124,237,171,5.0,2.3,0.55
18,C45,716,Mesothelioma,1,2,0,18,2,0.08,0.03,0.01
19,C46,716,Kaposi sarcoma,1,672,572,790,672,13.6,9.2,1.3
26,C60,716,Penis,1,112,77,163,112,3.0,1.5,0.33
27,C61,716,Prostate,1,1707,1555,1874,1707,68.3,23.3,7.6
28,C62,716,Testis,1,11,2,73,11,0.20,0.15,0.02
29,C64,716,Kidney,1,77,35,169,77,2.1,1.1,0.22
30,C67,716,Bladder,1,91,53,157,91,3.3,1.2,0.36
31,C70-72,716," Brain, central nervous system",1,96,43,213,96,1.9,1.3,0.19
32,C73,716,Thyroid,1,13,2,74,13,0.39,0.18,0.05
33,C81,716,Hodgkin lymphoma,1,56,24,129,56,0.87,0.76,0.08
34,C82-86+C88,716,Non-Hodgkin lymphoma,1,526,433,639,526,11.8,7.2,1.2
35,C90,716,Multiple myeloma,1,95,66,138,95,3.2,1.3,0.39
36,C91-95,716,Leukaemia,1,146,108,197,146,3.0,2.0,0.28
