Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,51,All cancers,2,2617,2514,2725,2617,87.0,166.2,9.6
1,C00-06,51,"Lip, oral cavity",2,7,2,27,7,0.20,0.44,0.01
2,C07-08,51,Salivary glands,2,4,1,31,4,0.14,0.25,0.01
3,C09-10,51,Oropharynx,2,0,0,0,0,0.00,0.00,0.00
4,C11,51,Nasopharynx,2,1,0,8,1,0.03,0.06,0.00
5,C12-13,51,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,51,Oesophagus,2,16,7,39,16,0.48,1.0,0.05
7,C16,51,Stomach,2,192,147,252,192,6.1,12.2,0.68
41,C18-C21,51,Colorectum,2,287,-,-,287,8.8,18.2,1.0
11,C22,51,Liver and intrahepatic bile ducts,2,205,157,267,205,6.4,13.0,0.70
12,C23,51,Gallbladder,2,31,16,59,31,0.98,2.0,0.12
13,C25,51,Pancreas,2,197,149,261,197,6.1,12.5,0.73
14,C32,51,Larynx,2,10,3,38,10,0.28,0.64,0.02
15,C33-34,51,"Trachea, bronchus and lung",2,235,182,303,235,7.5,14.9,0.83
16,C43,51,Melanoma of skin,2,11,3,47,11,0.34,0.70,0.03
17,C44,51,Non-melanoma skin cancer,2,20,8,51,20,0.55,1.3,0.04
18,C45,51,Mesothelioma,2,11,4,28,11,0.35,0.70,0.04
19,C46,51,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,51,Breast,2,453,381,539,453,16.1,28.8,1.9
21,C51,51,Vulva,2,8,2,37,8,0.21,0.51,0.01
22,C52,51,Vagina,2,5,1,32,5,0.18,0.32,0.03
23,C53,51,Cervix uteri,2,99,69,143,99,4.0,6.3,0.45
24,C54,51,Corpus uteri,2,149,109,203,149,5.1,9.5,0.63
25,C56,51,Ovary,2,110,77,158,110,3.9,7.0,0.47
29,C64,51,Kidney,2,49,27,87,49,1.5,3.1,0.17
30,C67,51,Bladder,2,28,14,57,28,0.87,1.8,0.10
31,C70-72,51," Brain, central nervous system",2,107,75,152,107,4.2,6.8,0.45
32,C73,51,Thyroid,2,24,10,55,24,0.72,1.5,0.09
33,C81,51,Hodgkin lymphoma,2,5,1,39,5,0.19,0.32,0.02
34,C82-86+C88,51,Non-Hodgkin lymphoma,2,24,12,50,24,0.87,1.5,0.12
35,C90,51,Multiple myeloma,2,15,6,38,15,0.56,0.95,0.08
36,C91-95,51,Leukaemia,2,62,40,96,62,2.3,3.9,0.28
