Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,40,All cancers,2,10214,9967,10467,10214,76.7,222.5,8.4
1,C00-06,40,"Lip, oral cavity",2,79,53,117,79,0.64,1.7,0.07
2,C07-08,40,Salivary glands,2,17,10,28,17,0.10,0.37,0.01
3,C09-10,40,Oropharynx,2,42,29,61,42,0.36,0.91,0.04
4,C11,40,Nasopharynx,2,5,2,16,5,0.05,0.11,0.01
5,C12-13,40,Hypopharynx,2,16,8,33,16,0.16,0.35,0.02
6,C15,40,Oesophagus,2,93,69,125,93,0.73,2.0,0.09
7,C16,40,Stomach,2,320,271,378,320,2.2,7.0,0.22
41,C18-C21,40,Colorectum,2,945,-,-,945,5.9,20.6,0.61
11,C22,40,Liver and intrahepatic bile ducts,2,247,208,293,247,1.7,5.4,0.20
12,C23,40,Gallbladder,2,51,33,78,51,0.34,1.1,0.04
13,C25,40,Pancreas,2,992,886,1111,992,6.9,21.6,0.82
14,C32,40,Larynx,2,24,15,39,24,0.22,0.52,0.03
15,C33-34,40,"Trachea, bronchus and lung",2,1753,1619,1898,1753,15.4,38.2,2.0
16,C43,40,Melanoma of skin,2,166,132,208,166,1.2,3.6,0.13
17,C44,40,Non-melanoma skin cancer,2,77,59,100,77,0.30,1.7,0.01
18,C45,40,Mesothelioma,2,20,12,32,20,0.16,0.44,0.02
19,C46,40,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,40,Breast,2,1789,1655,1933,1789,14.3,39.0,1.6
21,C51,40,Vulva,2,87,63,120,87,0.49,1.9,0.05
22,C52,40,Vagina,2,9,5,15,9,0.05,0.20,0.00
23,C53,40,Cervix uteri,2,180,140,231,180,1.9,3.9,0.21
24,C54,40,Corpus uteri,2,269,230,314,269,1.8,5.9,0.21
25,C56,40,Ovary,2,535,471,608,535,4.3,11.7,0.51
29,C64,40,Kidney,2,235,191,289,235,1.5,5.1,0.16
30,C67,40,Bladder,2,221,180,271,221,1.2,4.8,0.11
31,C70-72,40," Brain, central nervous system",2,258,217,307,258,2.8,5.6,0.31
32,C73,40,Thyroid,2,71,54,94,71,0.50,1.6,0.06
33,C81,40,Hodgkin lymphoma,2,14,8,24,14,0.10,0.30,0.01
34,C82-86+C88,40,Non-Hodgkin lymphoma,2,312,260,374,312,1.9,6.8,0.21
35,C90,40,Multiple myeloma,2,199,155,256,199,1.3,4.3,0.15
36,C91-95,40,Leukaemia,2,371,314,439,371,2.5,8.1,0.25
