Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,112,All cancers,2,9080,8850,9316,9080,79.4,180.2,9.1
1,C00-06,112,"Lip, oral cavity",2,89,69,114,89,0.79,1.8,0.10
2,C07-08,112,Salivary glands,2,23,14,38,23,0.15,0.46,0.01
3,C09-10,112,Oropharynx,2,16,9,28,16,0.15,0.32,0.01
4,C11,112,Nasopharynx,2,5,1,18,5,0.06,0.10,0.01
5,C12-13,112,Hypopharynx,2,7,3,18,7,0.07,0.14,0.01
6,C15,112,Oesophagus,2,47,33,66,47,0.43,0.93,0.05
7,C16,112,Stomach,2,827,761,898,827,6.8,16.4,0.77
41,C18-C21,112,Colorectum,2,1476,-,-,1476,11.4,29.3,1.4
11,C22,112,Liver and intrahepatic bile ducts,2,170,142,204,170,1.4,3.4,0.16
12,C23,112,Gallbladder,2,91,71,117,91,0.67,1.8,0.08
13,C25,112,Pancreas,2,530,478,588,530,4.2,10.5,0.53
14,C32,112,Larynx,2,18,10,32,18,0.18,0.36,0.02
15,C33-34,112,"Trachea, bronchus and lung",2,461,412,515,461,3.9,9.2,0.50
16,C43,112,Melanoma of skin,2,172,143,207,172,1.6,3.4,0.19
17,C44,112,Non-melanoma skin cancer,2,59,43,80,59,0.33,1.2,0.03
18,C45,112,Mesothelioma,2,16,9,30,16,0.11,0.32,0.01
19,C46,112,Kaposi sarcoma,2,2,0,10,2,0.03,0.04,0.00
20,C50,112,Breast,2,1384,1297,1476,1384,13.3,27.5,1.6
21,C51,112,Vulva,2,84,64,110,84,0.52,1.7,0.06
22,C52,112,Vagina,2,10,4,22,10,0.06,0.20,0.01
23,C53,112,Cervix uteri,2,371,327,421,371,4.4,7.4,0.46
24,C54,112,Corpus uteri,2,472,422,528,472,3.8,9.4,0.52
25,C56,112,Ovary,2,546,493,605,546,5.3,10.8,0.63
29,C64,112,Kidney,2,210,178,247,210,1.7,4.2,0.22
30,C67,112,Bladder,2,73,55,97,73,0.43,1.5,0.05
31,C70-72,112," Brain, central nervous system",2,289,252,332,289,3.4,5.7,0.39
32,C73,112,Thyroid,2,34,22,52,34,0.27,0.67,0.03
33,C81,112,Hodgkin lymphoma,2,28,18,43,28,0.41,0.56,0.03
34,C82-86+C88,112,Non-Hodgkin lymphoma,2,230,196,269,230,2.0,4.6,0.24
35,C90,112,Multiple myeloma,2,139,114,170,139,1.2,2.8,0.15
36,C91-95,112,Leukaemia,2,344,302,391,344,3.2,6.8,0.35
