Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,64,All cancers,2,200,165,242,200,61.2,54.3,7.4
1,C00-06,64,"Lip, oral cavity",2,4,4,4,4,1.4,1.1,0.22
2,C07-08,64,Salivary glands,2,0,0,0,0,0.00,0.00,0.00
3,C09-10,64,Oropharynx,2,4,3,5,4,1.4,1.1,0.24
4,C11,64,Nasopharynx,2,2,2,3,2,0.69,0.54,0.09
5,C12-13,64,Hypopharynx,2,2,2,2,2,0.66,0.54,0.13
6,C15,64,Oesophagus,2,19,18,20,19,5.9,5.2,0.72
7,C16,64,Stomach,2,34,30,38,34,10.0,9.2,1.2
41,C18-C21,64,Colorectum,2,6,-,-,6,2.0,1.6,0.32
11,C22,64,Liver and intrahepatic bile ducts,2,7,6,8,7,2.3,1.9,0.29
12,C23,64,Gallbladder,2,7,7,7,7,2.2,1.9,0.23
13,C25,64,Pancreas,2,3,3,3,3,0.96,0.81,0.15
14,C32,64,Larynx,2,3,3,3,3,0.89,0.81,0.13
15,C33-34,64,"Trachea, bronchus and lung",2,25,23,27,25,7.6,6.8,0.96
16,C43,64,Melanoma of skin,2,0,0,0,0,0.00,0.00,0.00
17,C44,64,Non-melanoma skin cancer,2,0,0,0,0,0.00,0.00,0.00
18,C45,64,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,64,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,64,Breast,2,8,8,8,8,2.3,2.2,0.28
21,C51,64,Vulva,2,0,0,0,0,0.00,0.00,0.00
22,C52,64,Vagina,2,0,0,0,0,0.00,0.00,0.00
23,C53,64,Cervix uteri,2,26,26,26,26,7.2,7.1,0.74
24,C54,64,Corpus uteri,2,0,0,0,0,0.00,0.00,0.00
25,C56,64,Ovary,2,14,14,14,14,4.1,3.8,0.46
29,C64,64,Kidney,2,0,0,0,0,0.00,0.00,0.00
30,C67,64,Bladder,2,0,0,0,0,0.00,0.00,0.00
31,C70-72,64," Brain, central nervous system",2,5,5,5,5,1.7,1.4,0.23
32,C73,64,Thyroid,2,0,0,0,0,0.00,0.00,0.00
33,C81,64,Hodgkin lymphoma,2,0,0,0,0,0.00,0.00,0.00
34,C82-86+C88,64,Non-Hodgkin lymphoma,2,6,6,6,6,2.0,1.6,0.27
35,C90,64,Multiple myeloma,2,0,0,0,0,0.00,0.00,0.00
36,C91-95,64,Leukaemia,2,5,5,5,5,1.4,1.4,0.12
