Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,100,All cancers,2,8031,7807,8262,8031,88.0,228.0,9.6
1,C00-06,100,"Lip, oral cavity",2,36,25,52,36,0.46,1.0,0.05
2,C07-08,100,Salivary glands,2,19,11,34,19,0.19,0.54,0.02
3,C09-10,100,Oropharynx,2,11,5,25,11,0.17,0.31,0.02
4,C11,100,Nasopharynx,2,21,12,37,21,0.22,0.60,0.02
5,C12-13,100,Hypopharynx,2,7,3,18,7,0.08,0.20,0.01
6,C15,100,Oesophagus,2,40,28,58,40,0.44,1.1,0.05
7,C16,100,Stomach,2,411,345,490,411,4.0,11.7,0.46
41,C18-C21,100,Colorectum,2,1130,-,-,1130,10.3,32.1,1.2
11,C22,100,Liver and intrahepatic bile ducts,2,263,207,334,263,2.7,7.5,0.31
12,C23,100,Gallbladder,2,42,28,62,42,0.38,1.2,0.05
13,C25,100,Pancreas,2,556,480,645,556,5.5,15.8,0.67
14,C32,100,Larynx,2,24,15,38,24,0.29,0.68,0.03
15,C33-34,100,"Trachea, bronchus and lung",2,897,803,1002,897,11.1,25.5,1.4
16,C43,100,Melanoma of skin,2,67,46,99,67,0.80,1.9,0.08
17,C44,100,Non-melanoma skin cancer,2,67,49,91,67,0.49,1.9,0.03
18,C45,100,Mesothelioma,2,17,7,44,17,0.18,0.48,0.02
19,C46,100,Kaposi sarcoma,2,1,0,5,1,0.01,0.03,0.00
20,C50,100,Breast,2,1399,1243,1575,1399,15.5,39.7,1.7
21,C51,100,Vulva,2,42,30,60,42,0.38,1.2,0.05
22,C52,100,Vagina,2,12,6,25,12,0.10,0.34,0.01
23,C53,100,Cervix uteri,2,453,368,557,453,6.2,12.9,0.70
24,C54,100,Corpus uteri,2,314,257,383,314,3.3,8.9,0.39
25,C56,100,Ovary,2,454,380,543,454,5.7,12.9,0.67
29,C64,100,Kidney,2,131,98,174,131,1.5,3.7,0.17
30,C67,100,Bladder,2,172,133,222,172,1.4,4.9,0.15
31,C70-72,100," Brain, central nervous system",2,317,280,358,317,4.2,9.0,0.46
32,C73,100,Thyroid,2,26,17,40,26,0.30,0.74,0.03
33,C81,100,Hodgkin lymphoma,2,25,15,41,25,0.35,0.71,0.04
34,C82-86+C88,100,Non-Hodgkin lymphoma,2,143,97,210,143,1.4,4.1,0.16
35,C90,100,Multiple myeloma,2,81,61,107,81,0.85,2.3,0.11
36,C91-95,100,Leukaemia,2,214,183,250,214,2.9,6.1,0.28
