Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,188,All cancers,2,2826,2716,2940,2826,67.6,108.9,6.7
1,C00-06,188,"Lip, oral cavity",2,11,5,26,11,0.24,0.42,0.03
2,C07-08,188,Salivary glands,2,6,2,20,6,0.14,0.23,0.01
3,C09-10,188,Oropharynx,2,6,1,49,6,0.13,0.23,0.01
4,C11,188,Nasopharynx,2,1,0,2,1,0.04,0.04,0.00
5,C12-13,188,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,188,Oesophagus,2,14,6,31,14,0.27,0.54,0.02
7,C16,188,Stomach,2,288,230,361,288,6.5,11.1,0.62
41,C18-C21,188,Colorectum,2,356,-,-,356,8.0,13.7,0.78
11,C22,188,Liver and intrahepatic bile ducts,2,180,137,236,180,4.1,6.9,0.45
12,C23,188,Gallbladder,2,23,12,45,23,0.56,0.89,0.06
13,C25,188,Pancreas,2,177,140,223,177,3.9,6.8,0.41
14,C32,188,Larynx,2,4,0,33,4,0.09,0.15,0.01
15,C33-34,188,"Trachea, bronchus and lung",2,147,109,199,147,3.4,5.7,0.38
16,C43,188,Melanoma of skin,2,26,11,61,26,0.57,1.0,0.06
17,C44,188,Non-melanoma skin cancer,2,26,17,40,26,0.45,1.0,0.02
18,C45,188,Mesothelioma,2,1,0,8,1,0.01,0.04,0.00
19,C46,188,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,188,Breast,2,423,370,483,423,10.6,16.3,1.2
21,C51,188,Vulva,2,12,5,28,12,0.24,0.46,0.02
22,C52,188,Vagina,2,3,1,18,3,0.04,0.12,0.00
23,C53,188,Cervix uteri,2,167,124,225,167,4.6,6.4,0.46
24,C54,188,Corpus uteri,2,88,61,127,88,2.1,3.4,0.26
25,C56,188,Ovary,2,96,65,141,96,2.5,3.7,0.29
29,C64,188,Kidney,2,36,23,56,36,0.83,1.4,0.08
30,C67,188,Bladder,2,38,19,74,38,0.73,1.5,0.06
31,C70-72,188," Brain, central nervous system",2,79,55,113,79,2.3,3.0,0.23
32,C73,188,Thyroid,2,23,12,45,23,0.50,0.89,0.05
33,C81,188,Hodgkin lymphoma,2,21,10,42,21,0.54,0.81,0.05
34,C82-86+C88,188,Non-Hodgkin lymphoma,2,95,66,136,95,2.3,3.7,0.24
35,C90,188,Multiple myeloma,2,59,35,100,59,1.4,2.3,0.16
36,C91-95,188,Leukaemia,2,115,83,160,115,3.2,4.4,0.29
